Volume (pixel^3)	Surface (pixel^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (pixel)	SD dist. to surf. (pixel)	Median dist. to surf. (pixel)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
1984	1330	1984	855	11904	6	0	6	6	6	388.369	2.427	7.695	8.303	2.499	8.195	388.369	2.427	7.695	376	0	1	27	8	17
1249	892	1249	489	4996	4	0	4	4	4	349.045	37.552	5.616	6.672	1.619	6.481	349.045	37.552	5.616	344	28	1	11	19	11
12649	3972	12649	2377	101192	8	0	8	8	8	226.874	174.808	15.347	14.170	1.716	14.331	226.874	174.808	15.347	212	160	1	31	31	24
2229	1662	2229	916	11145	5	0	5	5	5	136.418	194.080	8.231	8.769	2.778	8.331	136.418	194.080	8.231	122	186	1	25	22	17
1630	1542	1630	957	3260	2	0	2	2	2	163.541	216.931	2.699	9.565	3.877	9.829	163.541	216.931	2.699	152	202	1	30	27	8
3101	2190	3101	1187	40313	13	0	13	13	13	130.614	196.206	17.548	9.312	2.540	9.423	130.614	196.206	17.548	121	185	7	22	24	18
2613	1974	2613	1065	36582	14	0	14	14	14	17.930	208.168	17.393	9.072	2.581	8.902	17.930	208.168	17.393	7	196	8	25	20	17
1248	1322	1248	670	14976	12	0	12	12	12	356.031	38.600	18.611	7.973	2.648	7.831	356.031	38.600	18.611	350	25	11	17	24	14
