Volume (pixel^3)	Surface (pixel^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (pixel)	SD dist. to surf. (pixel)	Median dist. to surf. (pixel)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
2310	1772	2310	980	9240	4	0	4	4	4	158.400	223.040	6.174	8.486	2.257	8.350	158.400	223.040	6.174	148	211	1	22	26	14
5117	2734	5117	1643	25585	5	0	5	5	5	194.121	300.834	9.147	10.760	2.413	10.798	194.121	300.834	9.147	181	286	1	27	26	19
4146	2272	4146	1368	24876	6	0	6	6	6	197.040	467.960	7.936	10.151	2.274	10.079	197.040	467.960	7.936	186	454	1	24	29	17
1273	1214	1273	611	11457	9	0	9	9	9	80.982	36.200	12.239	6.872	2.091	6.629	80.982	36.200	12.239	71	27	7	20	17	11
10932	3602	10932	2125	185844	17	0	17	17	17	202.640	363.665	18.787	13.413	1.761	13.950	202.625	363.665	18.787	188	349	7	30	32	21
1710	1582	1710	806	47880	28	0	28	28	28	76.422	24.584	19.258	7.787	2.075	8.011	76.422	24.584	19.258	68	19	8	20	16	20
1550	1400	1550	721	21700	14	0	14	14	14	163.988	211.275	17.890	7.927	2.594	7.675	163.988	211.275	17.890	150	206	9	26	15	18
2322	1528	2322	860	25542	11	0	11	11	11	190.938	290.409	15.648	8.499	2.286	8.316	190.938	290.409	15.648	180	284	9	26	16	17
7515	2886	7515	1624	120240	16	0	16	16	16	180.775	244.100	19.891	11.865	1.687	12.162	180.775	244.100	19.891	167	230	10	27	29	18
7188	2948	7188	1763	129384	18	0	18	18	18	192.137	444.183	20.895	12.088	2.372	12.064	192.137	444.183	20.895	179	426	11	28	35	17
3865	2330	3865	1340	73435	19	0	19	19	19	189.874	322.941	20.764	9.762	2.318	9.738	189.874	322.942	20.764	181	312	12	25	27	16
4705	2206	4705	1411	56460	12	0	12	12	12	200.571	473.466	19.319	10.299	2.079	10.439	200.571	473.466	19.319	187	465	12	26	20	16
1748	1268	1748	827	38456	22	0	22	22	22	199.171	460.411	19.780	7.865	2.377	7.836	199.171	460.411	19.780	187	454	13	24	15	15
2637	1638	2637	972	60651	23	0	23	23	23	50.233	9.140	22.738	8.312	2.014	8.606	50.233	9.140	22.738	40	0	16	23	20	12
1649	1298	1649	771	41225	25	0	25	25	25	164.162	221.554	24.018	7.663	2.274	7.664	164.162	221.554	24.018	153	213	17	23	17	11
1799	1270	1799	785	46774	26	0	26	26	26	193.340	299.368	23.216	7.673	2.007	7.781	193.340	299.368	23.216	182	291	19	23	19	9
