Volume (pixel^3)	Surface (pixel^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (pixel)	SD dist. to surf. (pixel)	Median dist. to surf. (pixel)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
3429	2392	3429	1326	75438	22	0	22	22	22	393.572	29.912	6.204	10.288	3.272	10.162	393.572	29.912	6.204	383	19	1	28	29	16
1484	1186	1484	621	38584	26	0	26	26	26	399.757	40.712	7.199	7.352	1.881	7.340	399.757	40.712	7.199	392	34	1	18	15	15
1928	1590	1928	805	63624	33	0	33	33	33	359.662	42.969	9.797	8.071	2.417	7.966	359.659	42.969	9.797	352	29	1	19	23	18
3361	1968	3361	1169	80664	24	0	24	24	24	320.125	156.567	7.383	9.266	2.154	9.328	320.125	156.567	7.383	311	146	1	19	25	20
1207	956	1207	551	16898	14	0	14	14	14	305.659	159.645	5.386	6.827	1.940	6.589	305.659	159.645	5.386	300	148	1	14	22	10
2357	1994	2357	1074	47140	20	0	20	20	20	193.333	196.179	8.233	8.736	2.481	8.723	193.333	196.179	8.233	187	184	1	19	25	22
1602	1278	1602	756	24030	15	0	15	15	15	207.012	192.407	5.046	7.398	1.882	7.410	207.012	192.407	5.046	198	184	1	17	18	14
5308	2338	5308	1241	169856	32	0	32	32	32	232.294	193.667	9.048	10.517	1.241	10.424	232.294	193.667	9.048	221	182	1	23	25	19
6063	2618	6063	1576	169764	28	0	28	28	28	265.716	204.701	7.245	10.967	1.920	11.200	265.716	204.701	7.245	253	191	1	26	26	17
4698	2140	4698	1171	136242	29	0	29	29	29	222.331	210.043	7.905	10.046	1.247	10.218	222.324	210.043	7.905	211	198	1	24	24	16
6481	3614	6481	1966	324050	50	0	50	50	50	145.823	232.952	13.646	12.479	3.893	11.526	145.818	232.952	13.646	132	218	1	31	37	26
2448	1498	2448	867	51408	21	0	21	21	21	154.710	232.453	6.414	8.641	2.334	8.425	154.710	232.453	6.414	147	220	1	17	28	12
1158	1014	1158	527	34740	30	0	30	30	30	370.682	32.043	9.289	6.835	2.044	6.651	370.682	32.043	9.289	360	26	2	19	16	16
3159	2104	3159	1108	120042	38	0	38	38	38	196.626	231.594	13.473	9.278	2.473	9.221	196.626	231.594	13.473	184	218	5	22	28	21
12964	4390	12964	2599	622272	48	0	48	48	48	102.233	262.944	16.188	14.505	2.564	14.335	102.233	262.944	16.188	87	245	5	34	36	22
5909	3390	5909	2019	360449	61	0	61	61	61	372.903	49.809	20.812	11.496	3.048	11.829	372.899	49.809	20.812	356	38	6	34	27	21
3260	2226	3260	1165	114100	35	0	35	35	35	345.155	103.371	14.182	9.790	2.896	9.579	345.161	103.371	14.182	336	89	6	18	29	18
4070	2274	4070	1300	170940	42	0	42	42	42	260.945	191.321	16.752	9.823	2.013	9.994	260.941	191.321	16.752	246	178	6	26	23	21
1001	868	1001	458	34034	34	0	34	34	34	180.145	200.875	10.895	6.030	1.388	6.228	180.145	200.875	10.895	174	194	6	13	15	12
1180	1084	1180	564	54280	46	0	46	46	46	171.623	207.584	13.132	6.803	2.061	6.904	171.623	207.584	13.132	166	197	6	15	20	13
1594	1356	1594	742	63760	40	0	40	40	40	210.916	233.786	12.176	8.010	2.836	7.619	210.916	233.786	12.176	204	220	6	15	26	15
5869	3176	5869	1767	228891	39	0	39	39	39	174.401	237.698	16.304	10.953	2.871	11.068	174.407	237.697	16.304	161	226	6	33	27	21
2860	2260	2860	1214	177320	62	0	62	62	62	359.235	86.127	16.629	9.829	2.988	9.973	359.241	86.127	16.629	350	72	7	20	27	20
1159	978	1159	558	41724	36	0	36	36	36	331.421	104.670	12.317	6.965	2.252	6.685	331.421	104.670	12.317	324	93	7	15	24	10
5996	2892	5996	1576	263824	44	0	44	44	44	371.281	116.842	16.890	10.875	2.079	11.135	371.294	116.842	16.890	359	105	7	28	25	20
