Volume (pixel^3)	Surface (pixel^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (pixel)	SD dist. to surf. (pixel)	Median dist. to surf. (pixel)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
6674	2744	6674	1885	240264	36	0	36	36	36	464.909	7.579	7.956	11.743	2.311	11.608	464.890	7.579	7.956	449	0	1	32	20	19
8859	3824	8859	2126	549258	62	0	62	62	62	448.715	19.726	15.771	12.285	2.438	12.625	448.724	19.726	15.771	436	6	1	29	28	26
10030	3502	10030	2140	391170	39	0	39	39	39	447.350	71.214	8.833	13.235	1.821	13.270	447.357	71.214	8.833	433	53	1	30	33	21
6175	2994	6175	1800	179075	29	0	29	29	29	424.724	96.103	9.169	11.651	2.652	11.693	424.715	96.103	9.169	411	79	1	27	29	25
10632	3858	10632	2353	393384	37	0	37	37	37	417.746	127.970	8.526	13.579	2.170	13.575	417.739	127.970	8.526	402	110	1	34	34	21
9692	4794	9692	2700	397372	41	0	41	41	41	328.330	277.111	9.946	13.295	2.327	13.683	328.323	277.110	9.946	313	259	1	29	33	26
4725	2470	4725	1665	151200	32	0	32	32	32	304.064	313.698	5.320	10.878	2.749	11.547	304.064	313.698	5.320	290	301	1	32	28	11
1284	1242	1284	724	32100	25	0	25	25	25	245.938	333.268	2.617	8.027	2.956	8.113	245.938	333.268	2.617	236	321	1	25	24	6
1000	826	1000	501	27000	27	0	27	27	27	287.883	337.607	4.112	6.395	1.912	6.154	287.883	337.607	4.112	277	331	1	23	12	8
4287	2400	4287	1620	150045	35	0	35	35	35	132.207	379.134	4.921	10.819	3.185	11.036	132.209	379.134	4.921	118	360	1	31	32	9
13515	4844	13515	3141	662235	49	0	49	49	49	129.918	403.648	13.000	14.858	3.320	14.660	129.911	403.653	13.000	109	387	1	38	31	26
8162	3966	8162	2301	538692	66	0	66	66	66	287.131	342.371	16.563	12.290	2.968	12.559	287.122	342.370	16.563	267	329	5	35	30	22
8004	3624	8004	2006	536268	67	0	67	67	67	170.027	392.872	17.267	12.188	2.535	12.442	170.031	392.874	17.267	155	378	5	29	33	22
5374	2974	5374	1643	338562	63	0	63	63	63	406.845	192.664	18.254	10.216	2.562	10.798	406.850	192.664	18.254	394	181	8	25	27	19
4776	2276	4776	1294	224472	47	0	47	47	47	423.017	87.183	16.370	10.443	2.193	10.500	423.025	87.183	16.370	409	78	9	28	20	18
3387	2732	3387	1558	237090	70	0	70	70	70	51.588	378.239	21.722	11.061	3.929	10.627	51.588	378.240	21.722	38	362	9	33	38	18
3348	2318	3348	1353	231012	69	0	69	69	69	190.006	372.068	20.929	9.692	2.872	9.668	190.002	372.068	20.929	180	357	10	27	28	17
8883	3496	8883	2161	506331	57	0	57	57	57	304.951	314.900	17.618	12.758	2.328	13.214	304.945	314.901	17.618	289	300	11	32	31	16
1924	1460	1924	876	138528	72	0	72	72	72	200.309	361.979	21.207	8.084	2.333	7.988	200.309	361.979	21.207	189	354	11	20	20	16
9779	3876	9779	2564	635635	65	0	65	65	65	133.475	380.326	18.491	13.353	3.017	13.596	133.470	380.320	18.491	118	359	11	32	39	16
1450	1260	1450	710	105850	73	0	73	73	73	65.620	374.609	21.147	8.203	3.095	7.629	65.620	374.609	21.147	59	363	11	14	26	16
