Volume (pixel^3)	Surface (pixel^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (pixel)	SD dist. to surf. (pixel)	Median dist. to surf. (pixel)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
8650	3152	8650	1898	34600	4	0	4	4	4	61.720	29.422	7.991	12.507	2.117	12.851	61.720	29.422	7.991	49	15	1	27	30	18
11699	3894	11699	1997	140388	12	0	12	12	12	87.519	98.366	16.728	13.789	1.117	13.735	87.519	98.366	16.728	74	84	1	29	29	30
20513	5402	20513	3041	266669	13	0	13	13	13	121.201	147.178	15.734	16.554	0.713	16.615	121.183	147.178	15.734	104	131	1	35	34	30
11399	4570	11399	2393	250778	22	0	22	22	22	131.843	180.160	17.031	13.043	2.481	13.959	131.843	180.160	17.031	118	166	1	30	30	30
7847	3050	7847	1889	15694	2	0	2	2	2	116.487	199.575	6.624	12.329	2.418	12.760	116.487	199.575	6.624	102	184	1	32	31	16
6383	2458	6383	1668	38298	6	0	6	6	6	148.655	198.996	6.927	11.394	2.255	11.704	148.655	198.996	6.927	135	187	1	29	26	14
15522	4784	15522	2901	108654	7	0	7	7	7	159.833	225.168	11.532	15.477	2.691	15.544	159.835	225.169	11.532	140	210	1	38	30	26
20035	5530	20035	3143	280490	14	0	14	14	14	160.140	254.544	16.309	16.537	1.230	16.533	160.157	254.545	16.309	143	239	1	35	33	30
21931	5654	21931	3274	350896	16	0	16	16	16	179.945	285.448	17.761	16.981	1.343	17.269	179.945	285.448	17.761	163	267	1	35	37	30
14631	4444	14631	2465	160941	11	0	11	11	11	152.188	378.553	14.981	14.833	1.233	14.950	152.201	378.553	14.981	138	363	1	28	32	30
11513	3754	11513	2207	92104	8	0	8	8	8	136.326	398.969	12.037	13.647	1.241	13.788	136.326	398.969	12.037	121	385	1	31	28	26
24415	6792	24415	4155	366225	15	0	15	15	15	127.915	425.386	13.793	18.869	4.562	17.953	127.933	425.390	13.793	107	396	1	40	51	30
9257	3286	9257	2055	27771	3	0	3	3	3	73.516	423.381	7.299	12.991	2.305	13.410	73.516	423.381	7.299	58	408	1	31	31	18
13328	4744	13328	2766	66640	5	0	5	5	5	66.563	466.147	13.400	14.653	2.857	14.711	66.563	466.146	13.400	52	448	1	28	37	29
4626	3168	4626	1773	4626	1	0	1	1	1	33.000	484.508	6.085	12.526	4.198	12.319	33.000	484.508	6.085	21	471	1	32	34	17
2826	1764	2826	964	25434	9	0	9	9	9	48.203	82.027	11.637	9.224	2.465	9.060	48.203	82.027	11.637	40	68	4	18	30	15
11362	4624	11362	2551	238602	21	0	21	21	21	38.729	83.295	19.693	13.746	2.797	14.449	38.729	83.295	19.693	24	68	5	33	33	26
10423	3334	10423	2219	177191	17	0	17	17	17	8.327	95.007	19.128	13.361	1.763	13.347	8.327	95.007	19.128	0	81	5	22	30	26
10905	3584	10905	2046	196290	18	0	18	18	18	60.420	112.345	21.093	13.420	1.432	13.536	60.420	112.345	21.093	45	98	8	31	29	23
1232	1014	1232	514	12320	10	0	10	10	10	38.514	490.205	13.546	6.904	1.987	6.413	38.514	490.205	13.546	31	483	9	19	21	11
10548	3406	10548	2147	210960	20	0	20	20	20	189.337	248.145	21.161	13.294	1.436	13.403	189.337	248.145	21.161	175	234	10	29	28	21
8673	3268	8673	2028	164787	19	0	19	19	19	148.988	205.102	22.192	12.563	1.984	12.773	148.996	205.102	22.192	136	188	11	29	33	20
8097	3066	8097	1851	186231	23	0	23	23	23	160.627	329.252	23.877	12.436	2.244	12.615	160.636	329.252	23.877	147	314	13	30	31	18
5744	2560	5744	1547	137856	24	0	24	24	24	100.729	441.019	25.129	10.969	2.401	11.330	100.729	441.019	25.129	87	428	16	28	28	15
