Volume (pixel^3)	Surface (pixel^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (pixel)	SD dist. to surf. (pixel)	Median dist. to surf. (pixel)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
6880	3296	6880	1861	41280	6	0	6	6	6	369.783	205.080	8.473	11.459	2.463	11.677	369.783	205.080	8.473	355	193	1	31	27	20
17946	5884	17946	3479	305082	17	0	17	17	17	418.374	210.763	17.200	16.695	3.276	16.840	418.351	210.762	17.200	400	194	1	42	40	28
16219	5108	16219	3114	243285	15	0	15	15	15	301.811	266.906	14.971	15.800	2.517	15.229	301.833	266.905	14.971	282	252	1	41	29	28
5785	3190	5785	1858	28925	5	0	5	5	5	272.816	292.205	7.704	11.360	3.008	11.306	272.816	292.205	7.704	261	276	1	28	34	18
1394	1084	1394	633	5576	4	0	4	4	4	283.151	286.456	7.985	7.018	1.724	7.093	283.151	286.456	7.985	280	277	1	10	18	18
6238	3218	6238	1737	49904	8	0	8	8	8	97.662	497.311	10.755	10.875	2.379	11.476	97.662	497.311	10.755	85	485	1	27	26	22
10816	4640	10816	2520	151424	14	0	14	14	14	355.988	234.230	16.383	14.994	4.330	13.996	356.011	234.231	16.383	341	218	5	37	41	24
11795	3974	11795	2451	224105	19	0	19	19	19	386.591	219.245	18.996	14.162	2.360	13.806	386.609	219.245	18.996	372	203	7	29	36	22
12198	3938	12198	2391	268356	22	0	22	22	22	299.337	293.065	19.156	14.141	2.090	14.228	299.360	293.067	19.156	283	280	7	36	29	22
14417	4334	14417	2573	331591	23	0	23	23	23	143.064	407.598	19.436	14.809	2.004	15.243	143.076	407.598	19.436	126	391	7	35	34	22
2865	1610	2865	998	60165	21	0	21	21	21	507.691	181.223	18.119	8.983	2.224	9.119	507.682	181.223	18.119	502	169	8	10	26	21
7711	3548	7711	1891	123376	16	0	16	16	16	237.145	316.470	18.475	11.596	2.444	12.033	237.145	316.470	18.475	223	303	8	29	27	21
5462	2790	5462	1440	98316	18	0	18	18	18	258.375	304.621	19.204	10.771	2.429	11.038	258.375	304.621	19.204	245	290	11	27	29	18
8895	3540	8895	2182	249060	28	0	28	28	28	120.181	459.953	22.300	13.295	3.012	13.180	120.181	459.953	22.300	104	441	12	36	35	17
2246	1270	2246	790	65134	29	0	29	29	29	507.239	159.187	21.736	8.039	1.755	8.060	507.231	159.187	21.736	501	149	13	11	21	16
1109	848	1109	427	22180	20	0	20	20	20	121.101	433.145	19.000	6.107	1.143	6.234	121.101	433.145	19.000	115	426	14	14	16	11
3039	1740	3039	1136	94209	31	0	31	31	31	100.602	503.059	24.239	9.212	2.322	9.067	100.602	503.057	24.239	88	494	18	27	18	11
