Volume (pixel^3)	Surface (pixel^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (pixel)	SD dist. to surf. (pixel)	Median dist. to surf. (pixel)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
12704	4662	12704	2760	25408	2	0	2	2	2	94.608	353.747	13.817	14.539	2.683	14.836	94.608	353.747	13.817	78	331	1	34	39	22
1248	1044	1248	655	1248	1	0	1	1	1	165.765	509.218	7.711	7.181	2.287	7.261	165.765	509.218	7.711	155	506	1	23	6	17
3725	2380	3725	1325	14900	4	0	4	4	4	273.535	250.734	15.866	10.252	2.913	9.981	273.535	250.734	15.866	257	242	4	31	25	19
6784	3316	6784	1984	20352	3	0	3	3	3	333.547	244.208	17.003	12.156	3.347	12.238	333.547	244.208	17.003	313	231	8	37	28	15
2662	1738	2662	928	13310	5	0	5	5	5	165.561	294.742	16.459	8.656	1.934	8.657	165.561	294.742	16.459	154	280	8	26	24	15
1522	1314	1522	743	12176	8	0	8	8	8	96.156	401.624	18.062	7.416	2.088	7.623	96.156	401.624	18.062	85	392	11	21	19	12
2926	2290	2926	1333	17556	6	0	6	6	6	204.024	271.756	19.070	10.926	4.295	10.479	204.024	271.756	19.070	188	261	12	35	27	11
1148	910	1148	532	12628	11	0	11	11	11	92.228	390.605	18.144	6.496	1.692	6.462	92.228	390.605	18.144	85	384	12	17	14	11
1449	1314	1449	705	14490	10	0	10	10	10	86.189	310.735	19.057	7.511	2.358	7.689	86.189	310.735	19.057	77	301	14	21	22	9
