Volume (cm^3)	Surface (cm^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (cm)	SD dist. to surf. (cm)	Median dist. to surf. (cm)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
9.448	89.450	392	361	131384	335.163	137.857	293.000	200	1064	303.640	170.898	21.957	1.580	0.591	1.616	303.835	170.845	21.668	294	168	18	20	8	12
0.627	7.511	26	26	15085	580.192	481.651	330.000	208	1961	303.385	177.154	21.192	0.712	0.339	0.732	303.310	177.086	20.355	302	176	18	4	3	7
0.434	5.783	18	18	7779	432.167	205.964	399.500	204	838	310.889	180.222	21.556	0.932	0.529	0.964	310.946	180.169	21.688	310	179	18	2	3	9
0.313	4.249	13	13	8198	630.615	367.651	480.000	225	1195	252.462	267.000	20.846	0.687	0.401	0.729	252.241	267.000	20.472	252	267	18	2	1	7
0.337	4.954	14	14	9803	700.214	447.339	676.500	208	1299	238.929	271.000	21.500	0.931	0.456	0.989	238.980	271.000	21.343	238	271	18	3	1	9
0.458	6.064	19	19	8471	445.842	136.765	395.000	287	730	249.000	274.579	22.368	0.987	0.601	0.935	249.000	274.649	22.440	249	274	18	1	2	11
0.699	8.815	29	29	9907	341.621	136.033	293.000	204	661	191.103	314.966	24.586	1.022	0.630	0.972	191.107	314.973	24.575	190	314	18	3	3	12
2.073	27.963	86	86	26827	311.942	106.922	278.000	200	633	231.453	335.779	24.942	1.152	0.517	1.099	231.634	335.895	25.145	228	334	18	9	5	12
0.578	7.405	24	24	10092	420.500	151.119	392.000	219	703	286.542	339.917	23.792	1.078	0.690	0.983	286.667	339.951	24.035	286	339	18	2	2	12
2.169	22.621	90	85	33352	370.578	191.465	317.000	200	1104	245.944	342.456	23.044	1.245	0.608	1.208	245.800	342.521	23.094	243	341	18	7	4	12
0.819	10.085	34	34	9959	292.912	87.741	268.500	202	556	258.353	345.971	23.294	1.161	0.622	1.077	258.432	345.962	23.674	257	345	18	3	3	12
0.386	6.682	16	16	4125	257.812	45.656	251.500	201	334	246.375	347.938	22.688	0.797	0.499	0.695	246.397	348.000	22.903	246	347	18	2	3	9
0.410	5.977	17	17	6767	398.059	180.694	317.000	203	721	270.176	354.235	21.471	0.945	0.556	0.966	270.101	354.152	21.842	270	354	18	2	2	10
0.916	10.931	38	38	12026	316.474	78.387	320.500	209	513	202.895	329.316	24.921	0.913	0.533	0.822	202.882	329.310	25.025	202	328	19	3	3	11
0.241	3.667	10	10	3008	300.800	49.705	297.500	226	399	219.500	333.000	21.900	0.621	0.380	0.599	219.485	333.000	21.819	219	333	19	2	1	7
0.747	11.249	31	31	9498	306.387	93.144	274.000	200	552	250.258	347.742	23.194	0.938	0.458	0.884	250.049	347.597	23.071	249	347	19	4	3	10
0.554	7.194	23	23	6479	281.696	57.164	266.000	203	403	312.522	175.652	24.130	0.781	0.491	0.746	312.536	175.695	24.199	312	175	20	2	2	10
1.277	15.638	53	53	17456	329.358	102.394	315.000	201	625	309.226	346.472	25.377	0.911	0.450	0.923	309.310	346.509	25.560	307	345	20	5	4	10
0.265	4.179	11	11	3541	321.909	89.615	312.000	213	472	313.909	345.818	24.455	0.679	0.434	0.603	313.938	345.865	24.533	313	345	21	2	2	8
0.241	3.667	10	10	2858	285.800	65.319	276.500	212	390	331.700	201.000	25.900	0.619	0.380	0.604	331.767	201.000	26.141	331	201	23	2	1	7
0.241	3.667	10	10	3569	356.900	140.725	369.000	207	615	186.900	305.200	26.200	0.576	0.385	0.429	186.938	305.122	26.468	186	305	23	2	2	7
0.313	4.125	13	13	4531	348.538	104.739	341.000	215	541	216.538	333.000	26.231	0.658	0.368	0.699	216.638	333.000	26.394	216	333	23	2	1	7
0.313	4.055	13	13	7121	547.769	274.367	515.000	202	990	249.538	124.077	26.692	0.631	0.326	0.670	249.566	124.028	27.264	249	124	24	2	2	6
0.362	4.496	15	15	4170	278.000	63.916	272.000	200	469	322.533	345.600	27.133	0.521	0.294	0.468	322.581	345.634	27.287	322	345	24	2	2	6
0.241	3.279	10	10	4172	417.200	210.860	372.500	217	919	215.600	286.100	27.400	0.495	0.249	0.561	215.682	286.052	27.707	215	286	25	2	2	5
