Volume (cm^3)	Surface (cm^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (cm)	SD dist. to surf. (cm)	Median dist. to surf. (cm)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
0.241	2.751	10	10	2323	232.300	20.314	227.500	204	261	314.500	238.600	3.600	0.313	0.112	0.283	314.492	238.591	3.565	314	238	3	2	3	3
1.904	15.779	79	69	18881	239.000	29.361	228.000	201	299	200.506	254.468	7.734	1.060	0.584	0.967	200.509	254.469	7.641	199	253	3	4	4	13
0.289	3.209	12	12	2461	205.083	3.554	204.000	200	212	375.417	143.417	5.083	0.375	0.174	0.399	375.414	143.415	5.083	375	143	4	2	2	4
2.386	16.360	99	85	29951	302.535	82.779	279.000	200	549	175.949	164.000	10.455	1.156	0.616	1.027	175.959	163.993	10.473	174	163	4	4	3	14
5.712	36.089	237	198	61557	259.734	50.793	247.000	200	462	269.679	227.928	12.603	1.309	0.561	1.216	269.618	227.761	12.748	268	224	4	6	8	14
2.868	18.159	119	103	41070	345.126	117.214	323.000	200	644	299.706	0.782	11.773	1.211	0.624	1.130	299.709	0.668	11.994	298	0	5	5	3	13
1.928	13.840	80	71	19948	249.350	34.656	246.000	200	337	350.038	1.062	10.400	1.040	0.568	0.994	350.037	1.073	10.415	349	0	5	3	4	12
0.386	4.954	16	16	3692	230.750	24.082	224.500	200	278	369.188	71.250	8.688	0.555	0.320	0.532	369.181	71.242	8.662	368	71	6	3	2	7
0.482	4.954	20	20	4327	216.350	8.958	217.000	200	230	365.550	146.400	9.200	0.561	0.308	0.501	365.556	146.394	9.210	365	146	6	2	2	7
7.664	31.508	318	176	80918	254.459	40.897	245.500	200	363	224.953	211.862	12.774	1.271	0.419	1.204	224.963	211.842	12.832	221	209	6	8	7	12
2.097	15.798	87	76	20381	234.264	26.465	228.000	200	294	158.966	99.057	13.138	1.064	0.547	0.945	158.963	99.036	13.169	157	97	7	5	5	11
0.675	7.792	28	25	6515	232.679	30.748	225.000	200	307	325.000	206.036	11.107	0.712	0.382	0.738	324.995	206.036	11.139	324	205	7	3	3	9
1.687	13.452	70	62	17048	243.543	29.474	243.500	200	313	316.814	233.143	12.971	1.015	0.514	0.881	316.816	233.150	13.008	315	232	7	4	4	11
3.350	21.775	139	113	33729	242.655	40.579	230.000	200	392	287.727	237.691	13.353	1.018	0.442	0.951	287.762	237.638	13.327	285	236	7	7	5	11
0.844	8.815	35	35	7407	211.629	10.267	210.000	200	239	369.800	167.343	12.371	0.890	0.519	0.930	369.790	167.337	12.377	369	166	8	3	3	10
1.133	11.195	47	47	10220	217.447	14.166	212.000	201	256	162.149	86.681	13.468	0.768	0.396	0.676	162.149	86.674	13.481	161	85	9	3	5	9
0.940	8.304	39	39	10055	257.821	47.962	251.000	202	349	239.487	204.128	13.077	0.757	0.421	0.761	239.492	204.144	13.142	239	203	9	2	3	9
0.337	4.372	14	14	2981	212.929	10.809	209.500	200	230	342.786	206.857	11.643	0.493	0.268	0.434	342.775	206.865	11.632	342	206	9	3	2	6
1.542	10.931	64	57	16402	256.281	42.356	245.500	200	340	262.016	223.969	13.703	0.828	0.410	0.748	262.057	223.918	13.817	261	222	9	3	4	9
2.266	16.115	94	78	21563	229.394	23.239	224.000	200	293	355.181	11.074	13.957	0.860	0.325	0.832	355.209	11.039	13.939	353	8	10	5	7	8
1.422	10.667	59	51	17719	300.322	82.017	274.000	201	482	363.644	79.271	14.305	0.834	0.400	0.764	363.641	79.287	14.479	362	78	10	4	4	8
1.253	9.503	52	45	12433	239.096	29.084	233.500	201	315	354.019	4.808	14.615	0.710	0.305	0.677	354.030	4.794	14.673	353	3	11	3	4	7
0.530	5.659	22	22	5065	230.227	18.171	230.500	201	257	151.591	107.364	14.773	0.644	0.350	0.615	151.608	107.360	14.823	151	106	11	2	3	7
0.578	6.171	24	22	5350	222.917	17.222	216.500	200	255	272.125	232.917	14.917	0.543	0.244	0.479	272.139	232.924	14.937	271	232	12	3	3	6
0.313	3.985	13	13	2977	229.000	21.722	225.000	202	266	321.231	229.923	15.692	0.447	0.243	0.359	321.239	229.918	15.731	321	229	13	2	3	5
0.554	5.783	23	22	5393	234.478	31.184	231.000	200	306	280.870	241.783	15.261	0.525	0.232	0.513	280.875	241.794	15.329	280	241	13	3	3	5
0.241	2.681	10	10	2469	246.900	33.188	241.500	206	308	299.500	0.400	19.400	0.295	0.070	0.283	299.512	0.376	19.372	298	0	19	4	2	2
0.506	5.272	21	21	4503	214.429	9.826	217.000	200	230	369.571	2.667	20.905	0.580	0.313	0.470	369.583	2.661	20.894	369	2	19	2	3	6
1.663	13.893	69	69	18065	261.812	42.083	262.000	201	337	432.797	2.623	22.957	1.088	0.560	1.164	432.873	2.652	22.910	429	2	19	7	2	11
0.699	6.488	29	26	7354	253.586	41.583	240.000	205	350	354.241	4.000	20.690	0.555	0.249	0.558	354.240	3.997	20.622	353	3	19	3	3	6
0.506	4.990	21	20	5679	270.429	58.851	252.000	202	400	363.667	79.190	19.952	0.449	0.161	0.449	363.663	79.219	19.871	362	78	19	4	3	4
0.819	6.859	34	34	7731	227.382	21.758	221.000	200	273	157.471	98.706	20.353	0.545	0.220	0.558	157.470	98.641	20.330	157	97	19	2	5	5
0.482	4.833	20	20	4295	214.750	13.258	210.500	201	240	225.000	212.200	19.300	0.376	0.111	0.373	225.001	212.188	19.288	223	210	19	5	5	2
1.470	11.004	61	56	14217	233.066	28.345	227.000	200	321	334.180	216.967	20.295	0.670	0.240	0.666	334.244	216.964	20.259	331	216	19	7	3	6
53.360	143.461	2214	999	783521	353.894	147.756	305.000	200	1098	247.161	235.033	23.095	2.501	0.691	2.512	247.407	234.303	22.712	231	222	19	27	26	11
0.651	6.631	27	27	6043	223.815	18.992	221.000	202	270	270.444	227.370	19.519	0.532	0.211	0.473	270.466	227.411	19.507	268	224	19	5	7	3
0.554	5.167	23	23	5370	233.478	27.626	222.000	206	298	275.522	225.348	19.739	0.427	0.155	0.461	275.506	225.357	19.703	274	224	19	4	4	4
1.012	8.868	42	41	9101	216.690	12.310	214.500	200	244	320.690	228.452	21.286	0.731	0.386	0.682	320.688	228.467	21.264	320	227	19	3	4	8
1.253	9.838	52	45	14771	284.058	66.977	269.000	201	439	281.885	229.692	21.692	0.758	0.354	0.720	281.855	229.682	21.584	281	228	19	3	4	8
5.230	37.822	217	184	50291	231.756	24.257	227.000	200	313	299.636	239.806	21.387	1.247	0.493	1.198	299.604	239.791	21.320	294	232	19	12	13	9
0.410	4.232	17	17	3746	220.353	13.933	222.000	201	242	316.471	233.471	20.235	0.447	0.189	0.509	316.474	233.468	20.196	315	233	19	4	2	4
0.530	5.342	22	22	4825	219.318	11.482	218.000	200	239	290.545	243.455	21.955	0.603	0.327	0.447	290.552	243.453	21.933	290	243	19	2	2	7
3.302	21.474	137	113	41649	304.007	113.256	257.000	200	631	258.423	247.730	24.474	1.221	0.563	1.169	258.288	247.656	25.006	256	246	19	7	4	11
0.578	6.241	24	24	5259	219.125	15.493	214.000	200	251	375.583	146.708	23.625	0.659	0.384	0.578	375.588	146.723	23.665	375	146	20	2	3	8
