Volume (cm^3)	Surface (cm^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (cm)	SD dist. to surf. (cm)	Median dist. to surf. (cm)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
3.302	27.136	137	123	32016	233.693	32.223	222.000	200	342	20.766	284.453	11.701	1.349	0.672	1.147	20.699	284.480	11.517	17	282	6	10	5	13
2.651	18.777	110	81	28731	261.191	47.747	245.000	200	372	260.100	321.845	10.818	0.998	0.425	0.916	260.097	321.843	10.886	258	320	6	5	5	11
0.506	4.814	21	21	4850	230.952	25.067	227.000	200	277	138.714	333.429	7.714	0.483	0.219	0.447	138.712	333.426	7.683	138	333	6	3	2	5
33.645	134.309	1396	843	550569	394.390	234.487	306.000	200	1763	103.885	335.570	14.857	2.377	0.833	2.362	103.944	336.347	14.879	90	323	6	31	19	13
0.337	3.597	14	14	3331	237.929	33.341	241.500	200	301	247.429	354.571	7.500	0.412	0.178	0.280	247.407	354.607	7.494	247	354	6	2	2	4
4.917	32.090	204	152	57032	279.569	66.525	265.000	200	497	333.961	234.147	12.623	1.276	0.523	1.296	334.086	234.265	12.529	331	227	7	7	13	12
0.603	5.589	25	25	5972	238.880	24.558	237.000	209	284	203.520	326.160	9.640	0.528	0.251	0.545	203.514	326.163	9.645	203	325	7	2	3	6
3.278	22.286	136	108	35753	262.890	51.100	253.000	200	393	56.794	335.515	12.074	1.191	0.581	1.155	56.741	335.570	11.971	54	333	7	7	5	12
3.109	22.570	129	103	32717	253.620	47.425	240.000	201	372	120.651	332.643	12.535	1.475	0.615	1.477	120.636	332.691	12.428	118	327	7	6	10	12
0.699	7.652	29	29	7611	262.448	62.306	242.000	201	430	9.241	399.276	9.793	0.624	0.289	0.591	9.178	399.353	9.829	8	398	7	5	3	7
1.205	11.038	50	46	11922	238.440	33.808	225.000	204	348	274.400	144.640	11.140	0.754	0.451	0.621	274.332	144.584	11.042	273	143	8	4	5	10
0.771	6.224	32	30	8160	255.000	39.200	250.500	201	348	278.906	149.688	10.250	0.553	0.212	0.530	278.906	149.678	10.230	278	149	8	3	3	5
13.208	61.029	548	350	161071	293.925	80.151	274.000	200	590	271.808	156.460	14.073	1.539	0.493	1.570	271.624	156.631	14.139	266	150	8	14	14	11
0.337	4.302	14	13	3113	222.357	21.967	216.000	201	271	285.929	155.143	10.071	0.431	0.180	0.421	285.918	155.139	10.070	285	154	8	3	3	5
20.173	83.070	837	486	281892	336.789	151.628	283.000	200	1242	291.427	166.139	14.066	1.682	0.466	1.698	291.553	165.945	13.992	283	158	8	14	17	11
