Volume (cm^3)	Surface (cm^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (cm)	SD dist. to surf. (cm)	Median dist. to surf. (cm)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
0.892	9.241	37	36	38	1.027	0.164	1	1	2	85.649	302.324	7.378	0.571	0.221	0.559	85.684	302.316	7.395	83	300	5	6	7	4
0.627	5.538	26	26	27	1.038	0.196	1	1	2	6.846	146.500	6.577	0.457	0.156	0.491	6.815	146.481	6.593	4	145	6	6	4	2
0.241	2.945	10	10	10	1.000	0.000	1	1	1	22.000	151.000	6.500	0.292	0.051	0.316	22.000	151.000	6.500	21	150	6	3	3	2
0.265	2.945	11	11	11	1.000	0.000	1	1	1	45.545	168.818	7.364	0.317	0.100	0.286	45.545	168.818	7.364	45	168	6	2	3	3
0.337	4.338	14	14	14	1.000	0.000	1	1	1	148.071	349.714	7.571	0.398	0.158	0.361	148.071	349.714	7.571	146	349	6	5	3	3
0.241	3.068	10	10	10	1.000	0.000	1	1	1	29.600	158.100	7.600	0.317	0.082	0.330	29.600	158.100	7.600	29	157	7	3	3	2
0.603	5.909	25	25	27	1.080	0.277	1	1	2	86.520	313.400	7.720	0.490	0.200	0.486	86.556	313.481	7.741	84	310	7	6	7	2
0.241	3.051	10	10	10	1.000	0.000	1	1	1	0.600	327.500	7.900	0.332	0.151	0.379	0.600	327.500	7.900	0	325	7	3	5	2
0.337	3.934	14	14	15	1.071	0.267	1	1	2	141.857	345.571	7.929	0.421	0.186	0.404	141.800	345.667	7.933	140	343	7	4	6	2
3695.305	7388.508	153324	81600	2033232	13.261	25.718	6	1	544	93.596	233.403	12.251	27.283	11.155	27.284	95.270	196.703	12.278	0	20	10	186	427	6
0.289	3.299	12	12	12	1.000	0.000	1	1	1	12.250	155.750	10.083	0.323	0.117	0.341	12.250	155.750	10.083	11	154	10	4	4	2
1.277	11.110	53	48	56	1.057	0.233	1	1	2	32.132	143.698	12.679	0.635	0.223	0.648	32.161	143.696	12.643	28	141	11	8	6	4
1.711	13.243	71	62	78	1.099	0.300	1	1	2	21.352	148.620	12.535	0.723	0.219	0.741	21.372	148.705	12.538	19	145	11	5	8	4
