Volume (pixel^3)	Surface (pixel^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (pixel)	SD dist. to surf. (pixel)	Median dist. to surf. (pixel)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
9136	3672	9136	1914	319760	35	0	35	35	35	331.537	249.847	17.162	13.190	2.566	12.539	331.546	249.846	17.162	320	235	1	26	36	30
4520	2392	4520	1419	122040	27	0	27	27	27	223.198	262.817	9.798	10.484	2.602	10.617	223.204	262.818	9.798	212	248	1	21	28	19
12230	4120	12230	2309	317980	26	0	26	26	26	247.283	268.945	11.325	13.965	1.770	14.411	247.263	268.945	11.325	233	252	1	31	33	24
3713	1944	3713	1245	22278	6	0	6	6	6	360.466	284.338	4.585	9.827	2.443	10.061	360.466	284.338	4.585	346	273	1	29	23	11
10085	3394	10085	2090	171445	17	0	17	17	17	399.359	290.924	8.353	13.197	1.905	13.369	399.341	290.923	8.353	385	275	1	29	32	20
1487	1126	1487	640	7435	5	0	5	5	5	329.011	290.835	3.699	7.255	1.966	7.025	329.011	290.835	3.699	320	279	1	18	23	10
1772	1264	1772	680	12404	7	0	7	7	7	347.692	324.640	6.096	7.540	1.853	7.435	347.692	324.640	6.096	340	313	1	15	21	14
4918	3412	4918	1755	137704	28	0	28	28	28	416.191	326.237	13.277	11.136	3.021	11.245	416.191	326.237	13.277	403	316	1	29	28	25
7908	4110	7908	2305	284688	36	0	36	36	36	449.320	332.519	19.966	12.978	3.455	12.729	449.296	332.519	19.966	434	320	1	30	26	30
3054	1758	3054	888	58026	19	0	19	19	19	380.435	341.942	9.575	8.950	1.699	8.785	380.440	341.942	9.575	372	331	1	20	22	18
11961	4158	11961	2290	275103	23	0	23	23	23	439.046	354.899	14.499	13.951	1.925	13.833	439.060	354.898	14.499	423	342	1	34	28	30
6668	2960	6668	1959	100020	15	0	15	15	15	457.458	368.433	6.561	11.926	2.706	12.287	457.475	368.434	6.561	444	352	1	29	32	21
5511	3272	5511	1867	115731	21	0	21	21	21	486.753	368.311	13.425	11.447	3.006	11.341	486.741	368.310	13.425	474	359	1	28	23	30
13393	4142	13393	2387	321432	24	0	24	24	24	479.286	398.695	11.234	14.347	1.223	14.605	479.305	398.695	11.234	464	384	1	32	31	25
1010	860	1010	488	13130	13	0	13	13	13	147.283	413.920	6.143	6.327	1.671	6.059	147.283	413.920	6.143	140	405	1	13	19	15
3153	1842	3153	987	78825	25	0	25	25	25	137.781	409.200	10.023	8.995	1.766	8.943	137.781	409.200	10.023	129	400	1	23	23	17
12791	4456	12791	2540	498849	39	0	39	39	39	115.301	422.202	15.865	14.654	2.462	14.427	115.309	422.204	15.865	102	407	1	28	33	30
9247	3234	9247	1845	203434	22	0	22	22	22	103.451	455.546	10.445	12.679	1.241	12.821	103.451	455.546	10.445	90	443	1	28	27	22
8710	3132	8710	1980	139360	16	0	16	16	16	89.346	478.936	7.964	12.588	2.008	12.847	89.346	478.936	7.964	74	466	1	31	27	19
6046	2594	6046	1656	60460	10	0	10	10	10	118.466	487.504	5.680	11.443	2.480	11.877	118.466	487.504	5.680	105	475	1	30	28	15
3198	1816	3198	1103	99138	31	0	31	31	31	507.752	446.976	13.672	9.395	2.304	9.574	507.759	446.976	13.672	501	434	2	11	26	25
15976	5602	15976	3438	718920	45	0	45	45	45	200.230	253.168	19.688	16.472	3.828	15.636	200.223	253.168	19.688	174	237	3	43	38	28
11607	3756	11607	2150	487494	42	0	42	42	42	272.636	251.247	19.494	13.662	1.131	13.707	272.621	251.247	19.494	258	239	5	31	27	26
14195	4298	14195	2612	581995	41	0	41	41	41	235.767	236.880	21.533	14.784	2.061	15.264	235.759	236.879	21.533	220	221	7	33	33	24
8374	3576	8374	1867	368456	44	0	44	44	44	119.495	391.711	18.526	11.994	1.766	12.392	119.495	391.711	18.526	105	378	7	28	28	24
6227	3158	6227	1779	236626	38	0	38	38	38	502.881	416.864	19.424	10.720	2.469	10.905	502.894	416.866	19.424	493	400	7	19	30	24
12223	5146	12223	2818	403359	33	0	33	33	33	78.090	457.037	19.280	13.919	3.772	14.051	78.083	457.031	19.280	63	435	7	35	39	24
3720	2034	3720	1225	159960	43	0	43	43	43	505.780	391.762	20.262	9.568	1.922	9.684	505.787	391.762	20.262	499	382	9	13	22	22
9034	3460	9034	2089	307156	34	0	34	34	34	464.000	360.295	21.162	12.663	2.364	12.650	463.981	360.294	21.162	449	346	12	29	31	19
4783	2432	4783	1457	239150	50	0	50	50	50	306.203	245.541	25.638	10.504	2.458	10.847	306.194	245.541	25.638	292	233	15	29	26	16
5832	2520	5832	1544	297432	51	0	51	51	51	111.043	291.789	25.099	11.239	2.318	11.414	111.048	291.788	25.099	98	278	15	27	29	16
