Volume (pixel^3)	Surface (pixel^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (pixel)	SD dist. to surf. (pixel)	Median dist. to surf. (pixel)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
2526	1744	2526	1004	5052	2	0	2	2	2	8.847	160.018	6.696	8.681	2.302	8.626	8.847	160.018	6.696	0	149	1	21	22	17
1405	1110	1405	655	1405	1	0	1	1	1	5.675	173.168	5.633	6.809	1.621	6.912	5.675	173.168	5.633	0	167	1	17	14	13
10017	3838	10017	2493	80136	8	0	8	8	8	48.392	192.316	9.927	13.713	2.931	13.518	48.392	192.316	9.927	34	174	1	29	32	27
6121	2772	6121	1516	55089	9	0	9	9	9	499.418	197.079	9.384	11.069	1.859	11.283	499.400	197.079	9.384	488	184	1	24	26	20
10482	3742	10482	2045	178194	17	0	17	17	17	23.221	205.154	16.833	13.440	1.681	13.268	23.221	205.154	16.833	8	193	1	30	26	31
7116	3598	7116	2373	35580	5	0	5	5	5	52.273	216.301	6.845	13.359	4.342	12.951	52.273	216.301	6.845	34	203	1	42	27	19
13700	4118	13700	2364	219200	16	0	16	16	16	93.131	230.200	14.559	14.469	0.957	14.459	93.131	230.200	14.559	79	217	1	29	28	29
22137	6286	22137	3827	332055	15	0	15	15	15	173.828	242.479	13.750	17.489	2.627	16.949	173.849	242.478	13.750	157	218	1	33	47	33
6427	2666	6427	1739	38562	6	0	6	6	6	196.183	250.914	6.913	11.718	2.469	11.556	196.183	250.914	6.913	188	235	1	23	33	17
17671	5494	17671	3399	176710	10	0	10	10	10	149.534	262.875	10.497	16.520	3.267	16.387	149.534	262.874	10.497	130	241	1	42	40	29
8719	3298	8719	2017	61033	7	0	7	7	7	236.719	257.191	7.253	12.837	2.405	12.818	236.719	257.191	7.253	223	241	1	29	33	20
18216	5986	18216	3752	200376	11	0	11	11	11	213.838	274.987	12.776	16.788	3.071	16.455	213.862	274.987	12.776	195	255	1	38	37	33
16573	6352	16573	3526	381179	23	0	23	23	23	308.709	274.926	14.576	16.416	4.063	16.052	308.722	274.923	14.576	288	253	1	44	38	33
4828	2364	4828	1410	19312	4	0	4	4	4	269.914	269.237	7.899	10.167	1.798	10.366	269.914	269.237	7.899	259	258	1	22	24	19
2616	1448	2616	924	7848	3	0	3	3	3	240.702	283.725	4.839	8.478	1.779	8.650	240.702	283.725	4.839	231	275	1	23	19	12
9044	4130	9044	2198	126616	14	0	14	14	14	138.150	234.500	18.033	12.326	2.495	12.780	138.150	234.500	18.033	125	220	4	27	29	27
1262	1118	1262	554	22716	18	0	18	18	18	470.195	220.811	17.147	7.171	2.193	7.202	470.195	220.811	17.147	462	212	10	22	15	14
5186	3134	5186	1625	98534	19	0	19	19	19	113.527	244.816	20.158	10.637	2.357	10.889	113.527	244.816	20.158	102	233	10	24	27	22
13807	4724	13807	2816	358982	26	0	26	26	26	245.997	275.493	24.252	15.098	2.802	14.866	245.976	275.493	24.252	229	257	10	39	34	24
2671	1608	2671	1034	66775	25	0	25	25	25	508.367	180.485	23.673	9.039	2.534	9.362	508.357	180.485	23.673	503	168	11	9	27	23
9894	3274	9894	1982	237456	24	0	24	24	24	49.315	219.850	22.877	12.953	1.279	12.997	49.315	219.850	22.877	33	209	13	32	24	21
9115	3624	9115	2130	291680	32	0	32	32	32	245.766	246.241	26.013	12.878	2.599	12.991	245.766	246.241	26.013	230	232	14	34	30	20
3730	2244	3730	1218	104440	28	0	28	28	28	485.560	202.604	24.431	9.707	2.240	9.646	485.560	202.604	24.431	475	188	16	24	25	18
6322	2732	6322	1626	170694	27	0	27	27	27	50.851	195.949	24.783	11.478	2.138	11.707	50.851	195.949	24.783	37	180	16	28	28	18
6992	3158	6992	1809	244720	35	0	35	35	35	423.711	257.548	25.356	11.877	2.252	11.873	423.719	257.548	25.356	411	243	16	29	28	18
6141	2442	6141	1433	221076	36	0	36	36	36	398.618	257.867	25.684	10.908	1.405	11.118	398.605	257.867	25.684	387	246	16	24	24	18
7104	2898	7104	1765	262848	37	0	37	37	37	279.242	274.691	26.247	11.800	2.025	12.122	279.234	274.691	26.247	265	262	16	28	27	18
1566	1164	1566	623	45414	29	0	29	29	29	419.490	235.560	25.128	7.192	1.732	7.168	419.488	235.560	25.128	409	230	17	20	12	17
7492	2898	7492	1784	247236	33	0	33	33	33	186.540	264.117	26.566	11.938	2.111	12.362	186.532	264.117	26.566	172	251	17	29	27	17
8095	3938	8095	2340	323800	40	0	40	40	40	446.595	228.482	27.371	12.224	3.242	13.237	446.589	228.482	27.371	431	212	18	31	32	16
5147	2986	5147	1718	252203	49	0	49	49	49	371.962	272.793	27.362	11.253	3.162	11.714	371.956	272.793	27.362	354	259	18	32	26	16
3431	1692	3431	1084	140671	41	0	41	41	41	343.304	248.500	27.504	9.328	2.069	9.346	343.297	248.499	27.504	331	240	19	26	15	15
2586	1458	2586	891	108612	42	0	42	42	42	343.953	260.726	27.165	8.457	1.758	8.170	343.951	260.726	27.165	332	256	19	24	13	15
5842	2500	5842	1542	221996	38	0	38	38	38	330.710	278.759	28.012	11.265	2.317	11.409	330.723	278.760	28.012	317	266	19	31	26	15
1147	810	1147	436	44733	39	0	39	39	39	473.939	182.861	28.341	6.146	0.799	6.071	473.941	182.861	28.341	466	178	22	16	12	12
1332	972	1332	547	63936	48	0	48	48	48	210.930	263.703	29.044	6.715	1.561	6.680	210.930	263.703	29.044	201	257	23	20	13	11
3727	2058	3727	1278	175169	47	0	47	47	47	309.507	253.372	29.901	10.087	2.687	10.414	309.514	253.372	29.901	296	241	24	29	26	10
