Volume (pixel^3)	Surface (pixel^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (pixel)	SD dist. to surf. (pixel)	Median dist. to surf. (pixel)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
2392	1572	2392	956	43056	18	0	18	18	18	442.714	3.778	9.265	8.454	2.186	8.480	442.714	3.778	9.265	429	0	1	23	11	23
19011	6038	19011	3808	494286	26	0	26	26	26	250.723	119.946	14.043	17.010	2.943	16.259	250.699	119.945	14.043	234	100	1	35	38	30
13584	4954	13584	3020	461856	34	0	34	34	34	223.973	134.032	14.790	15.203	2.746	15.210	223.956	134.032	14.790	208	115	1	32	33	30
5877	3114	5877	1850	111663	19	0	19	19	19	222.952	190.738	8.237	10.842	2.248	10.986	222.959	190.738	8.237	210	179	1	27	28	19
14507	4582	14507	2889	623801	43	0	43	43	43	176.342	229.605	16.291	15.199	2.260	15.255	176.350	229.604	16.291	162	216	1	30	28	30
14559	5288	14559	3287	320298	22	0	22	22	22	223.357	261.630	9.848	15.167	2.856	15.090	223.379	261.630	9.848	203	245	1	41	32	24
9620	3892	9620	2325	221260	23	0	23	23	23	225.267	289.337	9.802	13.217	2.329	12.894	225.279	289.338	9.802	211	277	1	30	30	29
24808	7058	24808	4720	992320	40	0	40	40	40	239.347	315.362	13.517	18.469	3.205	18.313	239.306	315.361	13.517	217	291	1	44	43	30
24099	7106	24099	4493	602475	25	0	25	25	25	241.725	355.851	11.422	18.461	3.361	17.726	241.713	355.847	11.422	220	335	1	44	44	29
12194	4702	12194	2739	243880	20	0	20	20	20	289.079	379.676	10.534	13.880	2.440	14.217	289.076	379.675	10.534	275	362	1	31	35	26
4164	2778	4164	1670	62460	15	0	15	15	15	280.010	400.030	7.152	10.745	2.995	10.782	280.010	400.031	7.152	270	386	1	29	30	20
3183	1972	3183	1173	50928	16	0	16	16	16	266.366	402.618	9.227	9.449	2.388	9.421	266.366	402.618	9.227	260	388	1	15	27	20
10638	4008	10638	2476	255312	24	0	24	24	24	305.761	413.580	9.020	13.630	2.303	13.458	305.761	413.580	9.020	291	395	1	34	39	23
26180	7552	26180	4806	994840	38	0	38	38	38	350.836	426.704	14.305	18.684	3.148	18.429	350.852	426.709	14.305	326	410	1	45	37	30
3191	2072	3191	1287	54247	17	0	17	17	17	323.201	435.240	6.250	10.125	3.188	9.881	323.200	435.240	6.250	313	415	1	21	33	20
11547	3880	11547	2353	508068	44	0	44	44	44	387.301	27.557	21.224	13.857	1.925	13.804	387.327	27.557	21.224	371	12	5	32	30	26
1484	1512	1484	779	31164	21	0	21	21	21	194.781	164.705	11.880	7.948	2.653	7.909	194.781	164.705	11.880	187	156	6	21	19	22
8470	3182	8470	1907	389620	46	0	46	46	46	314.083	68.026	22.360	12.439	1.672	12.575	314.098	68.026	22.360	301	54	7	27	29	24
1951	1450	1951	837	101452	52	0	52	52	52	283.817	59.800	24.390	8.209	2.525	7.777	283.817	59.800	24.390	277	53	12	18	23	19
6789	3000	6789	1836	319083	47	0	47	47	47	312.895	431.080	22.208	11.820	2.285	11.586	312.902	431.081	22.208	297	420	12	34	23	19
5542	2426	5542	1476	266016	48	0	48	48	48	332.328	52.270	23.971	10.928	2.059	10.910	332.328	52.270	23.971	318	40	13	27	24	18
1179	980	1179	537	66024	56	0	56	56	56	273.589	66.237	23.897	6.596	1.698	6.507	273.589	66.237	23.897	269	56	14	11	20	17
2102	1526	2102	815	115610	55	0	55	55	55	197.987	329.269	25.244	8.124	2.102	8.196	197.989	329.269	25.244	187	320	16	24	18	15
1811	1300	1811	749	95983	53	0	53	53	53	207.762	114.869	25.909	7.823	2.178	7.515	207.761	114.869	25.909	201	102	18	14	25	13
1668	1166	1668	715	98412	59	0	59	59	59	220.607	108.479	25.791	7.577	1.999	7.629	220.608	108.479	25.791	212	101	18	17	17	13
1924	1566	1924	891	115440	60	0	60	60	60	172.902	265.199	26.324	8.646	2.999	8.428	172.902	265.199	26.324	159	249	18	24	28	13
4379	2882	4379	1658	236466	54	0	54	54	54	181.842	293.068	26.407	10.915	3.198	11.409	181.845	293.068	26.407	168	279	18	30	31	13
1588	1270	1588	739	92104	58	0	58	58	58	252.236	97.207	26.732	8.084	2.829	7.960	252.236	97.207	26.732	238	90	20	26	17	11
1092	966	1092	542	70980	65	0	65	65	65	200.715	340.113	27.377	6.832	2.329	6.626	200.715	340.113	27.377	189	334	22	24	14	9
