Volume (cm^3)	Surface (cm^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (cm)	SD dist. to surf. (cm)	Median dist. to surf. (cm)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
30649.863	42940.684	1271711	487354	36027008	28.330	61.455	12	1	3804	173.809	151.017	16.434	35.106	8.848	36.084	197.586	163.830	16.665	0	0	1	386	292	29
0.627	6.719	26	26	30	1.154	0.368	1	1	2	219.231	0.231	2.923	0.523	0.227	0.502	219.133	0.200	2.933	216	0	1	7	2	5
34.272	301.346	1422	1422	53773	37.815	68.944	14	1	502	351.213	0.000	14.435	4.823	2.020	4.854	358.722	0.000	8.499	318	0	1	68	1	29
0.265	3.262	11	11	11	1.000	0.000	1	1	1	183.545	0.364	3.818	0.409	0.159	0.381	183.545	0.364	3.818	183	0	2	2	2	4
0.241	3.068	10	10	10	1.000	0.000	1	1	1	188.600	1.900	2.600	0.317	0.082	0.330	188.600	1.900	2.600	188	1	2	3	3	2
1.542	12.031	64	64	64	1.000	0.000	1	1	1	316.875	27.953	2.672	0.641	0.253	0.594	316.875	27.953	2.672	314	23	2	8	9	2
0.868	7.179	36	36	41	1.139	0.351	1	1	2	129.278	38.250	2.556	0.492	0.172	0.475	129.293	38.195	2.610	127	36	2	6	6	2
0.627	5.027	26	26	53	2.038	1.113	2	1	5	232.769	99.962	2.500	0.404	0.111	0.376	232.811	99.981	2.566	231	98	2	5	4	2
0.892	8.820	37	37	37	1.000	0.000	1	1	1	92.730	156.514	2.703	0.600	0.233	0.632	92.730	156.514	2.703	89	153	2	8	8	2
0.313	3.422	13	13	13	1.000	0.000	1	1	1	84.077	159.923	2.077	0.350	0.149	0.354	84.077	159.923	2.077	82	159	2	5	3	2
1.012	10.053	42	42	45	1.071	0.261	1	1	2	99.857	166.690	2.595	0.621	0.317	0.559	99.911	166.622	2.622	97	161	2	7	12	2
0.410	4.285	17	17	20	1.176	0.393	1	1	2	0.412	28.824	5.176	0.378	0.127	0.394	0.400	28.900	5.150	0	27	4	3	4	3
0.410	4.762	17	17	17	1.000	0.000	1	1	1	217.941	7.235	5.882	0.465	0.186	0.499	217.941	7.235	5.882	217	4	5	3	7	2
0.964	8.044	40	40	41	1.025	0.158	1	1	2	44.950	61.625	5.725	0.535	0.202	0.517	44.976	61.659	5.732	41	59	5	7	6	2
0.603	5.732	25	25	26	1.040	0.200	1	1	2	79.640	67.240	5.600	0.454	0.175	0.418	79.615	67.231	5.615	77	66	5	7	4	2
