Volume (cm^3)	Surface (cm^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (cm)	SD dist. to surf. (cm)	Median dist. to surf. (cm)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
0.506	4.656	21	20	21	1.000	0.000	1	1	1	188.810	67.381	19.571	0.404	0.129	0.384	188.810	67.381	19.571	188	66	19	3	5	3
0.844	6.701	35	31	36	1.029	0.169	1	1	2	239.143	68.714	20.029	0.498	0.110	0.488	239.139	68.694	20.028	237	67	19	5	4	3
0.313	3.827	13	13	13	1.000	0.000	1	1	1	183.846	69.154	19.462	0.375	0.137	0.348	183.846	69.154	19.462	183	68	19	3	3	3
1.783	12.271	74	66	86	1.162	0.439	1	1	3	291.459	78.946	22.676	0.946	0.432	0.952	291.465	78.930	22.523	290	78	19	4	3	9
0.386	4.496	16	14	18	1.125	0.342	1	1	2	229.000	101.000	20.125	0.421	0.135	0.422	229.000	101.000	20.167	228	100	19	3	3	4
0.578	7.143	24	23	25	1.042	0.204	1	1	2	208.208	108.083	20.125	0.653	0.252	0.647	208.120	108.080	20.200	205	106	19	7	5	5
0.675	5.873	28	26	35	1.250	0.518	1	1	3	193.143	112.643	19.714	0.447	0.115	0.434	193.114	112.714	19.600	192	110	19	4	5	3
3.181	25.604	132	114	139	1.053	0.225	1	1	2	313.053	117.470	21.720	1.000	0.412	0.998	313.101	117.424	21.669	310	115	19	7	8	9
0.771	8.129	32	31	32	1.000	0.000	1	1	1	317.500	123.000	19.969	0.531	0.189	0.513	317.500	123.000	19.969	316	120	19	4	6	4
0.988	8.888	41	38	45	1.098	0.300	1	1	2	337.488	138.049	20.829	0.701	0.307	0.762	337.489	138.044	20.711	336	136	19	4	5	6
0.482	4.990	20	18	22	1.100	0.308	1	1	2	278.000	181.000	21.100	0.405	0.122	0.430	278.000	181.000	21.136	277	180	20	3	3	4
0.482	4.990	20	18	21	1.050	0.224	1	1	2	193.000	102.000	22.100	0.405	0.122	0.430	193.000	102.000	22.095	192	101	21	3	3	4
0.386	4.496	16	14	16	1.000	0.000	1	1	1	179.000	108.000	22.125	0.421	0.135	0.422	179.000	108.000	22.125	178	107	21	3	3	4
0.265	3.844	11	10	11	1.000	0.000	1	1	1	173.727	81.273	27.364	0.429	0.240	0.361	173.727	81.273	27.364	173	80	25	3	3	5
0.362	4.091	15	13	15	1.000	0.000	1	1	1	179.333	92.000	26.200	0.373	0.076	0.353	179.333	92.000	26.200	178	91	25	4	3	3
0.386	3.827	16	16	16	1.000	0.000	1	1	1	340.875	131.125	28.500	0.352	0.095	0.353	340.875	131.125	28.500	340	130	27	3	3	3
0.313	3.422	13	13	13	1.000	0.000	1	1	1	196.615	37.385	28.923	0.346	0.129	0.378	196.615	37.385	28.923	195	36	28	4	4	2
0.265	2.857	11	11	11	1.000	0.000	1	1	1	187.000	62.909	28.818	0.296	0.091	0.320	187.000	62.909	28.818	186	62	28	3	3	2
0.313	3.369	13	13	13	1.000	0.000	1	1	1	251.923	62.769	28.769	0.318	0.091	0.319	251.923	62.769	28.769	251	61	28	3	4	2
0.699	6.333	29	29	30	1.034	0.186	1	1	2	272.690	67.828	28.793	0.511	0.197	0.518	272.633	67.833	28.800	270	66	28	7	4	2
0.241	2.664	10	10	10	1.000	0.000	1	1	1	344.000	72.000	28.900	0.281	0.099	0.301	344.000	72.000	28.900	343	71	28	3	3	2
0.241	2.664	10	10	11	1.100	0.316	1	1	2	229.000	101.000	28.900	0.281	0.099	0.301	229.000	101.000	28.909	228	100	28	3	3	2
