Volume (pixel^3)	Surface (pixel^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (pixel)	SD dist. to surf. (pixel)	Median dist. to surf. (pixel)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
15530	6330	15530	3918	62120	4	0	4	4	4	125.337	346.341	12.861	15.985	3.309	15.877	125.337	346.341	12.861	110	328	1	41	43	25
2128	1692	2128	944	4256	2	0	2	2	2	124.851	379.259	6.908	8.094	2.135	8.128	124.851	379.259	6.908	115	372	1	20	17	17
3645	2078	3645	1232	10935	3	0	3	3	3	117.650	402.907	7.664	9.595	2.095	9.640	117.650	402.907	7.664	106	392	1	26	23	16
2437	1932	2437	1105	19496	8	0	8	8	8	123.611	400.669	20.941	8.807	2.697	8.794	123.611	400.669	20.941	109	390	12	27	22	14
1287	1462	1287	754	11583	9	0	9	9	9	124.580	378.563	21.267	7.164	2.373	7.235	124.580	378.563	21.267	116	367	14	24	24	12
2946	2222	2946	1501	29460	10	0	10	10	10	158.811	377.332	23.141	11.783	4.967	11.611	158.811	377.332	23.141	145	359	18	28	41	8
1537	1404	1537	883	16907	11	0	11	11	11	148.970	427.690	23.344	8.694	3.433	8.645	148.970	427.690	23.344	140	417	19	20	28	7
1384	1232	1384	783	17992	13	0	13	13	13	163.010	348.055	23.315	7.849	2.789	7.963	163.010	348.055	23.315	152	336	21	22	22	5
1071	1132	1071	709	36414	34	0	34	34	34	171.710	395.801	23.671	7.721	3.015	7.645	171.710	395.801	23.671	163	383	22	20	25	4
