Volume (cm^3)	Surface (cm^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (cm)	SD dist. to surf. (cm)	Median dist. to surf. (cm)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
15.063	59.139	625	343	4983	7.973	15.658	2.000	1	116	457.178	75.944	22.877	2.011	0.986	1.884	456.936	75.744	26.434	453	72	10	10	9	20
0.337	3.456	14	14	14	1.000	0.000	1.000	1	1	240.000	117.500	11.500	0.346	0.118	0.340	240.000	117.500	11.500	239	117	10	3	2	4
11.062	47.430	459	278	2212	4.819	6.334	2.000	1	53	402.033	322.100	22.207	2.079	1.058	2.037	402.062	322.072	24.689	399	319	10	7	8	20
10.990	43.726	456	269	2641	5.792	8.046	2.000	1	63	397.846	354.636	23.572	1.832	0.969	1.627	397.880	354.719	25.686	395	351	10	7	8	20
0.265	4.038	11	10	11	1.000	0.000	1.000	1	1	49.455	96.182	12.455	0.419	0.172	0.414	49.455	96.182	12.455	48	95	11	4	3	4
0.362	3.844	15	14	15	1.000	0.000	1.000	1	1	461.667	141.333	12.733	0.398	0.154	0.408	461.667	141.333	12.733	461	140	11	3	3	4
10.026	43.763	416	247	2093	5.031	7.475	2.000	1	64	94.978	121.200	23.055	1.856	0.910	1.728	94.965	121.089	25.277	92	118	12	7	8	18
0.265	3.914	11	11	11	1.000	0.000	1.000	1	1	409.182	130.818	13.182	0.405	0.189	0.465	409.182	130.818	13.182	408	130	12	3	3	4
0.265	3.192	11	10	12	1.091	0.302	1.000	1	2	112.364	173.000	13.000	0.326	0.086	0.317	112.333	173.000	13.000	111	172	12	3	3	3
13.424	56.901	557	328	2587	4.645	7.119	2.000	1	58	457.627	172.443	23.899	1.786	0.791	1.732	458.184	172.813	25.709	451	167	12	12	10	18
0.458	5.432	19	17	19	1.000	0.000	1.000	1	1	225.105	204.684	13.105	0.426	0.144	0.439	225.105	204.684	13.105	223	203	12	5	5	3
18.124	61.749	752	385	4507	5.993	9.395	2.000	1	79	378.342	253.842	22.698	2.015	0.861	1.942	378.385	253.882	25.789	375	249	12	9	11	18
1.446	12.783	60	48	108	1.800	1.132	1.000	1	6	257.950	398.000	20.783	0.926	0.685	0.696	257.972	398.000	21.139	256	396	12	5	5	13
0.313	3.456	13	12	13	1.000	0.000	1.000	1	1	363.692	432.308	13.077	0.356	0.099	0.391	363.692	432.308	13.077	363	431	12	3	3	3
