Volume (pixel^3)	Surface (pixel^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (pixel)	SD dist. to surf. (pixel)	Median dist. to surf. (pixel)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
11604	3800	11604	2295	34812	3	0	3	3	3	133.491	101.775	10.806	13.811	1.716	13.906	133.491	101.775	10.806	116	87	1	32	30	25
15380	4678	15380	2834	30760	2	0	2	2	2	314.883	294.816	10.208	15.163	2.068	15.478	314.883	294.816	10.208	298	278	1	34	34	23
15369	4710	15369	2601	122952	8	0	8	8	8	94.353	24.763	19.335	15.097	1.492	14.975	94.353	24.763	19.335	80	10	2	29	30	34
20225	5422	20225	3114	222475	11	0	11	11	11	296.486	316.625	20.754	16.533	1.098	16.546	296.516	316.627	20.754	280	301	2	34	33	34
15427	4506	15427	2594	154270	10	0	10	10	10	188.982	232.038	21.711	15.051	1.139	15.080	188.982	232.038	21.711	176	217	5	28	31	31
1106	858	1106	497	5530	5	0	5	5	5	363.138	283.744	12.519	6.390	1.646	6.299	363.138	283.744	12.519	359	279	5	12	11	19
5984	3146	5984	1736	35904	6	0	6	6	6	357.797	294.559	13.513	10.932	2.457	11.312	357.797	294.559	13.513	346	280	5	27	27	20
1319	1346	1319	696	9233	7	0	7	7	7	129.873	72.042	19.009	7.542	2.392	7.753	129.873	72.042	19.009	122	59	10	15	22	20
10935	3938	10935	2360	164025	15	0	15	15	15	118.159	93.812	26.446	13.891	2.350	13.757	118.163	93.812	26.446	104	74	13	30	37	23
1556	1430	1556	763	24896	16	0	16	16	16	250.163	308.100	26.533	7.894	2.429	8.021	250.163	308.100	26.533	239	300	18	21	15	18
1452	1476	1452	842	24684	17	0	17	17	17	204.118	267.118	32.102	8.658	3.488	8.374	204.118	267.118	32.102	187	258	25	29	17	11
