Volume (pixel^3)	Surface (pixel^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (pixel)	SD dist. to surf. (pixel)	Median dist. to surf. (pixel)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
7528	3060	7528	1949	60224	8	0	8	8	8	446.243	7.478	9.767	11.958	2.423	11.984	446.243	7.478	9.767	431	0	1	31	19	22
8830	3332	8830	2030	17660	2	0	2	2	2	376.808	31.067	8.680	12.608	1.920	12.746	376.808	31.067	8.680	364	17	1	27	31	21
13388	4074	13388	2453	53552	4	0	4	4	4	358.951	49.166	11.027	14.440	1.452	14.499	358.951	49.166	11.027	345	33	1	29	33	25
2441	1694	2441	879	24410	10	0	10	10	10	328.035	60.202	12.667	8.463	1.990	8.343	328.035	60.202	12.667	321	49	1	17	23	21
2116	1690	2116	931	2116	1	0	1	1	1	340.645	61.009	9.173	8.878	3.013	8.921	340.645	61.009	9.173	332	48	1	16	27	20
14072	4716	14072	2687	154792	11	0	11	11	11	300.971	75.117	14.409	15.260	2.963	14.556	300.996	75.117	14.409	281	61	1	36	31	35
19396	5246	19396	3066	135772	7	0	7	7	7	258.906	164.515	12.913	16.255	1.300	16.503	258.941	164.515	12.913	242	148	1	35	34	29
14656	5016	14656	2732	190528	13	0	13	13	13	424.381	20.639	16.143	15.630	3.184	15.045	424.355	20.639	16.143	410	0	4	29	39	28
6540	2940	6540	1607	58860	9	0	9	9	9	207.511	174.893	15.539	11.414	1.855	11.517	207.511	174.893	15.539	196	164	4	27	22	27
3049	2022	3049	1090	36588	12	0	12	12	12	136.460	207.348	14.274	9.200	2.329	9.459	136.460	207.348	14.274	124	201	4	25	14	22
1526	1116	1526	654	4578	3	0	3	3	3	141.142	218.282	10.995	7.123	1.821	7.141	141.142	218.282	10.995	135	213	4	15	12	20
1085	932	1085	504	5425	5	0	5	5	5	129.105	218.359	12.632	6.585	1.975	6.408	129.105	218.359	12.632	124	213	4	11	12	22
20393	5776	20393	3024	367074	18	0	18	18	18	289.048	124.796	24.835	16.655	1.291	16.791	289.013	124.796	24.835	271	109	6	36	34	36
10811	4514	10811	2525	205409	19	0	19	19	19	331.746	123.385	22.655	12.995	2.719	13.618	331.762	123.386	22.655	316	110	6	28	31	32
1279	972	1279	585	21743	17	0	17	17	17	320.765	129.863	23.709	7.014	2.235	6.559	320.765	129.863	23.709	315	126	11	13	10	24
1386	1404	1386	684	22176	16	0	16	16	16	165.777	211.212	21.251	7.519	2.139	7.607	165.777	211.212	21.251	158	203	12	19	16	18
13909	4478	13909	2670	305998	22	0	22	22	22	269.874	106.430	35.386	14.902	2.127	15.002	269.898	106.430	35.386	255	91	22	37	33	24
1010	854	1010	541	23230	23	0	23	23	23	481.917	1.846	36.040	6.659	2.197	6.441	481.917	1.846	36.040	473	0	24	18	6	22
1300	1208	1300	660	26000	20	0	20	20	20	468.808	4.695	36.665	6.934	2.024	6.873	468.808	4.695	36.665	458	0	25	18	11	20
8616	3134	8616	1789	215400	25	0	25	25	25	252.042	127.329	35.965	12.283	1.387	12.496	252.030	127.329	35.965	239	113	25	28	28	21
2989	1984	2989	1034	62769	21	0	21	21	21	462.631	16.796	35.963	8.889	1.956	8.961	462.623	16.796	35.963	452	8	26	24	17	20
1119	1178	1119	561	26856	24	0	24	24	24	279.692	147.249	35.868	7.040	2.314	6.830	279.692	147.249	35.868	273	141	27	17	20	15
