Volume (pixel^3)	Surface (pixel^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (pixel)	SD dist. to surf. (pixel)	Median dist. to surf. (pixel)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
12246	3778	12246	2230	12246	1	0	1	1	1	64.539	150.393	12.511	13.882	0.790	13.879	64.539	150.393	12.511	51	137	1	30	28	25
6036	3008	6036	1516	18108	3	0	3	3	3	215.431	403.859	21.131	11.171	2.081	11.247	215.431	403.859	21.131	202	393	11	29	27	22
1038	728	1038	433	2076	2	0	2	2	2	207.271	507.039	18.614	5.914	0.843	5.934	207.271	507.039	18.614	201	500	14	14	12	11
18909	5776	18909	3095	207999	11	0	11	11	11	199.819	286.862	31.491	16.617	2.428	16.512	199.842	286.862	31.491	184	258	15	32	47	34
1110	954	1110	487	4440	4	0	4	4	4	196.132	503.893	20.434	6.906	2.225	6.898	196.132	503.893	20.434	190	494	15	16	18	13
12621	4298	12621	2375	189315	15	0	15	15	15	81.064	150.991	33.842	14.211	1.674	14.160	81.064	150.991	33.842	67	136	16	28	30	33
1004	958	1004	473	9036	9	0	9	9	9	105.503	164.838	24.570	6.572	2.025	6.229	105.503	164.838	24.570	99	158	16	16	13	18
16189	4690	16189	2545	194268	12	0	12	12	12	169.058	225.839	33.799	15.290	0.674	15.288	169.058	225.839	33.799	155	210	18	30	32	31
10154	3376	10154	1970	162464	16	0	16	16	16	140.696	192.794	37.125	13.053	0.988	13.074	140.696	192.794	37.125	129	180	22	25	27	27
13794	4204	13794	2517	248292	18	0	18	18	18	182.509	322.345	38.531	14.589	1.641	14.789	182.495	322.345	38.531	167	307	23	32	31	26
10408	3588	10408	2072	208160	20	0	20	20	20	190.456	424.378	38.489	13.145	1.440	13.347	190.456	424.377	38.489	177	410	25	27	30	24
3261	2026	3261	1140	45654	14	0	14	14	14	202.070	490.021	38.182	9.430	2.350	9.706	202.070	490.021	38.182	190	480	27	27	19	22
9316	4052	9316	2367	204952	22	0	22	22	22	220.492	375.767	40.332	13.498	3.320	13.303	220.503	375.767	40.332	207	353	28	33	40	21
4831	2592	4831	1494	82127	17	0	17	17	17	206.154	478.501	40.153	10.735	2.519	10.718	206.153	478.500	40.153	191	470	28	27	24	21
9269	3332	9269	2027	194649	21	0	21	21	21	182.544	373.259	41.072	12.932	2.129	12.990	182.532	373.259	41.072	168	358	30	31	30	19
