Volume (cm^3)	Surface (cm^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (cm)	SD dist. to surf. (cm)	Median dist. to surf. (cm)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
2.482	20.400	103	91	27693	268.864	55.993	260.000	200	475	222.990	411.602	5.951	1.215	0.573	1.224	223.040	411.551	5.960	219	407	1	8	11	10
1.085	8.713	45	43	12367	274.822	53.844	274.000	201	403	117.356	410.933	1.489	0.569	0.212	0.541	117.350	410.921	1.437	115	408	1	5	8	3
4.700	24.862	195	137	53011	271.851	58.645	265.000	200	508	135.523	425.421	3.697	1.036	0.305	1.065	135.371	425.388	3.578	131	423	1	10	6	8
2.555	15.357	106	79	44179	416.783	207.912	335.000	201	1078	215.481	428.066	4.906	0.932	0.378	0.868	215.509	428.092	4.962	214	426	1	4	5	9
3.784	24.773	157	123	53419	340.248	129.871	304.000	201	796	211.312	435.955	5.102	1.120	0.501	1.007	211.446	436.049	4.921	207	432	1	8	8	11
1.181	8.481	49	44	15164	309.469	84.109	286.000	210	553	166.000	480.959	3.571	0.654	0.278	0.656	165.998	480.936	3.526	165	480	1	3	3	7
113.637	422.574	4715	2448	1706243	361.876	202.906	287.000	200	1958	105.140	45.324	17.746	4.175	1.655	4.235	105.544	46.335	18.294	81	16	2	42	47	27
1.085	8.868	45	38	12851	285.578	69.163	271.000	203	457	144.578	55.956	4.911	0.694	0.303	0.653	144.582	55.944	4.970	143	55	2	4	3	7
1.060	8.675	44	40	10477	238.114	27.359	238.000	200	315	204.886	97.068	6.159	0.684	0.348	0.542	204.885	97.072	6.155	204	96	2	3	3	8
0.771	6.471	32	28	7738	241.812	36.281	226.000	200	333	145.125	382.375	4.156	0.510	0.162	0.487	145.150	382.364	4.163	144	381	2	3	4	5
0.482	5.007	20	19	4840	242.000	39.571	231.500	200	331	146.250	401.650	3.850	0.483	0.207	0.461	146.255	401.658	3.857	145	401	2	3	3	5
0.362	4.302	15	15	3423	228.200	23.016	224.000	201	276	82.933	22.267	5.000	0.410	0.193	0.431	82.948	22.267	4.995	82	22	3	3	2	5
1.567	10.984	65	51	19037	292.877	79.083	273.000	201	476	3.646	26.262	6.000	0.740	0.296	0.603	3.671	26.290	6.002	2	25	3	4	4	7
3.808	20.963	158	110	66240	419.241	219.096	349.500	201	1161	188.494	109.728	8.557	1.146	0.521	1.069	188.485	109.754	8.762	186	108	3	5	5	12
0.289	3.209	12	12	2876	239.667	32.018	237.500	201	300	176.583	113.417	4.250	0.369	0.162	0.343	176.612	113.378	4.265	176	113	3	2	2	4
2.097	13.224	87	69	22506	258.690	46.955	245.000	200	363	176.851	234.747	6.161	0.820	0.319	0.775	176.827	234.749	6.166	175	233	3	4	5	8
4.218	24.191	175	123	50295	287.400	69.756	271.000	200	495	141.531	409.794	8.177	1.111	0.424	1.080	141.542	409.729	8.277	139	407	3	7	7	11
0.627	5.589	26	26	6825	262.500	46.546	247.500	209	363	5.038	3.538	6.346	0.517	0.233	0.540	5.049	3.548	6.364	4	3	4	3	2	6
0.988	7.969	41	34	12199	297.537	75.766	288.000	203	473	130.537	46.951	6.341	0.653	0.257	0.643	130.537	46.938	6.351	129	46	4	4	3	6
0.723	6.488	30	27	8171	272.367	60.047	253.000	200	402	127.300	59.067	6.667	0.555	0.230	0.574	127.321	59.087	6.657	126	58	4	3	3	6
2.410	18.672	100	85	26582	265.820	64.362	243.000	200	464	241.200	209.700	11.440	1.193	0.705	1.051	241.343	209.815	11.731	236	207	4	8	6	14
0.530	6.154	22	22	5054	229.727	27.221	226.500	200	282	177.682	268.136	6.682	0.608	0.297	0.567	177.654	268.107	6.733	176	267	4	5	4	6
2.627	15.093	109	79	42865	393.257	187.866	326.000	200	944	239.128	349.615	7.404	0.900	0.365	0.783	239.204	349.664	7.468	237	348	4	5	4	9
