Volume (cm^3)	Surface (cm^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (cm)	SD dist. to surf. (cm)	Median dist. to surf. (cm)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
2.820	18.142	117	88	30498	260.667	49.635	248.000	200	383	468.402	6.744	9.077	1.131	0.540	1.096	468.424	6.724	9.107	467	5	4	4	5	12
0.530	5.342	22	22	4843	220.136	11.158	220.000	205	245	449.455	24.545	6.545	0.605	0.328	0.596	449.446	24.554	6.545	449	24	4	2	2	7
1.133	10.032	47	40	11374	242.000	34.986	240.000	200	333	441.362	39.809	7.298	0.709	0.325	0.690	441.333	39.821	7.319	440	38	4	4	4	8
3.929	24.206	163	127	45338	278.147	66.475	259.000	200	456	430.712	50.485	11.129	1.388	0.698	1.279	430.699	50.489	11.219	429	49	4	5	4	15
0.337	4.760	14	14	2966	211.857	11.687	207.000	200	231	356.714	372.643	8.000	0.664	0.432	0.613	356.728	372.657	8.043	356	372	5	2	2	8
1.422	11.195	59	48	14402	244.102	34.500	232.000	200	325	452.525	398.085	8.898	0.812	0.383	0.798	452.511	398.091	8.880	451	397	5	4	3	9
0.892	8.885	37	33	8661	234.081	28.678	228.000	202	303	422.189	405.811	8.784	0.760	0.399	0.726	422.189	405.800	8.833	421	405	5	3	3	9
0.988	8.233	41	40	10079	245.829	30.885	240.000	205	308	429.805	388.512	10.390	0.769	0.396	0.656	429.782	388.511	10.346	429	388	7	3	3	8
1.277	11.918	53	48	12366	233.321	27.798	229.000	201	304	327.038	116.245	13.415	1.007	0.603	0.976	327.040	116.238	13.427	326	115	8	3	3	13
0.723	7.140	30	30	6911	230.367	25.834	223.000	202	279	350.033	187.600	10.933	0.647	0.371	0.495	350.030	187.606	10.924	349	187	8	3	2	8
0.723	7.722	30	30	6570	219.000	16.543	212.500	200	252	336.200	270.433	11.333	0.687	0.377	0.603	336.187	270.442	11.349	336	269	8	2	4	8
10.388	49.401	431	270	124272	288.334	72.932	271.000	200	522	342.111	370.854	17.810	1.740	0.778	1.590	341.981	370.880	17.641	338	368	8	11	7	19
0.434	5.342	18	18	4019	223.278	16.276	223.500	200	245	326.778	255.833	11.944	0.605	0.349	0.468	326.754	255.845	11.969	326	255	9	3	2	7
7.978	42.558	331	254	85213	257.441	51.039	244.000	200	442	335.906	261.444	19.215	1.939	1.021	1.825	335.850	261.408	19.513	334	258	9	5	8	22
0.458	4.372	19	19	4339	228.368	17.372	232.000	200	260	353.526	323.474	11.105	0.511	0.244	0.466	353.535	323.481	11.112	353	323	9	2	2	5
1.639	12.553	68	60	17013	250.191	44.039	243.500	200	374	461.971	395.015	14.382	0.901	0.500	0.722	461.971	395.021	14.416	461	394	9	3	3	12
0.265	3.861	11	11	2290	208.182	6.809	205.000	201	221	430.000	94.091	12.818	0.614	0.373	0.535	430.000	94.109	12.796	430	93	10	1	3	7
0.819	8.692	34	30	8225	241.912	36.349	235.000	201	340	422.971	120.882	13.735	0.738	0.388	0.715	422.972	120.896	13.698	422	120	10	3	3	9
0.627	6.365	26	25	5872	225.846	18.471	220.500	202	259	355.231	188.615	13.385	0.599	0.303	0.581	355.232	188.599	13.379	354	188	10	3	3	7
47.166	235.815	1957	1333	497217	254.071	47.997	242.000	200	483	355.269	302.970	22.055	2.721	1.023	2.690	355.406	302.949	22.204	342	290	11	26	23	20
1.446	12.165	60	53	15713	261.883	50.307	251.000	200	371	340.050	268.500	16.850	0.944	0.495	0.848	340.070	268.499	16.822	339	267	12	3	4	11
0.988	10.560	41	41	9158	223.366	13.982	220.000	201	250	483.585	387.707	15.902	0.758	0.385	0.753	483.584	387.707	15.884	482	386	12	4	4	9
0.482	5.536	20	20	4346	217.300	11.282	217.000	202	237	411.850	117.400	17.300	0.574	0.287	0.544	411.836	117.386	17.301	411	117	15	3	2	6
81.366	172.373	3376	1156	807932	239.316	27.527	234.000	200	358	419.232	145.159	23.967	2.614	0.533	2.637	419.212	145.154	24.023	409	136	15	20	20	16
0.627	7.017	26	26	6039	232.269	26.573	226.000	200	273	360.577	194.192	19.462	0.771	0.432	0.645	360.568	194.170	19.486	360	193	15	2	3	9
1.711	14.174	71	58	20723	291.873	75.067	276.000	201	484	345.394	195.042	20.817	1.052	0.557	0.930	345.392	195.040	20.821	344	194	15	4	3	13
0.458	5.730	19	19	4585	241.316	30.280	241.000	201	306	355.316	237.789	18.842	0.646	0.369	0.569	355.295	237.790	18.839	355	237	15	2	3	8
2.434	17.119	101	81	26289	260.287	51.586	246.000	200	390	358.545	320.653	20.119	1.143	0.570	1.141	358.544	320.701	20.171	357	318	15	4	5	13
0.844	8.427	35	30	8316	237.600	30.620	233.000	201	319	505.971	395.943	18.200	0.680	0.345	0.557	505.980	395.954	18.181	505	395	15	3	3	8
0.386	5.218	16	16	3517	219.812	13.580	218.000	200	244	356.062	194.438	20.062	0.783	0.454	0.790	356.057	194.428	20.022	356	194	16	2	2	9
7.182	34.257	298	201	77206	259.081	56.220	240.000	200	486	412.406	51.849	23.930	1.413	0.598	1.312	412.294	51.884	23.849	409	49	17	8	6	14
12.123	53.053	503	310	135187	268.761	64.109	246.000	200	447	507.525	379.678	24.495	1.622	0.592	1.549	507.370	379.821	24.717	504	373	17	8	11	14
1.639	13.311	68	59	15854	233.147	25.959	230.500	200	305	426.618	117.926	23.574	0.912	0.490	0.769	426.636	117.952	23.614	425	116	18	4	4	12
1.494	14.862	62	62	13757	221.887	15.182	218.000	200	257	361.355	190.339	24.081	1.205	0.618	1.188	361.375	190.364	24.146	358	189	18	6	4	13
2.458	16.995	102	87	29919	293.324	73.206	281.500	200	526	359.833	247.000	24.578	1.163	0.608	1.037	359.858	246.980	24.671	358	245	18	4	5	13
0.265	3.931	11	11	2288	208.000	5.422	207.000	201	217	317.000	261.364	21.091	0.709	0.455	0.750	317.000	261.361	21.098	317	261	18	1	2	8
1.494	15.691	62	60	14723	237.468	33.929	227.500	200	315	478.258	432.016	22.565	0.958	0.441	0.874	478.221	432.032	22.613	475	430	18	7	5	11
0.362	4.443	15	15	3251	216.733	11.853	214.000	201	242	407.733	54.667	21.333	0.539	0.279	0.550	407.739	54.676	21.343	407	54	19	2	2	6
6.628	33.535	275	186	67540	245.600	35.250	237.000	200	330	448.505	102.611	25.429	1.262	0.487	1.177	448.558	102.685	25.481	445	98	19	8	8	12
1.663	13.134	69	59	18694	270.928	56.555	253.000	205	390	322.870	126.420	24.319	0.983	0.523	0.953	322.851	126.434	24.320	322	125	19	3	4	12
2.266	17.737	94	92	20794	221.213	16.229	217.500	200	273	419.947	130.777	26.021	1.131	0.602	1.170	419.953	130.776	26.003	418	129	19	6	4	12
