Volume (cm^3)	Surface (cm^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (cm)	SD dist. to surf. (cm)	Median dist. to surf. (cm)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
0.458	5.007	19	19	4457	234.579	25.120	228.000	208	282	428.789	174.737	9.105	0.471	0.220	0.440	428.751	174.738	9.098	428	174	7	4	3	5
0.603	6.101	25	22	6843	273.720	56.643	260.000	202	420	47.920	258.200	9.640	0.512	0.213	0.480	47.907	258.192	9.664	47	257	7	3	3	6
1.639	11.108	68	54	25156	369.941	153.447	308.500	201	806	356.221	297.338	10.103	0.744	0.282	0.698	356.170	297.352	10.039	355	296	7	4	4	7
0.916	7.317	38	34	9577	252.026	35.824	240.500	201	345	254.000	315.000	9.500	0.575	0.241	0.636	253.992	315.009	9.500	253	314	7	3	3	6
2.940	16.961	122	89	48773	399.779	199.786	322.000	200	1006	194.795	320.467	11.607	0.985	0.427	0.989	194.770	320.479	11.271	193	319	7	5	4	11
1.663	12.184	69	57	19003	275.406	66.948	254.000	201	480	231.594	44.783	11.971	0.755	0.316	0.717	231.651	44.908	11.851	230	42	8	4	6	8
8.122	42.141	337	221	110341	327.421	169.248	258.000	200	1073	416.982	173.125	14.549	1.429	0.546	1.424	416.633	173.069	14.285	413	169	8	11	9	14
12.388	49.691	514	270	170488	331.689	124.604	295.500	200	827	365.165	233.018	13.243	1.455	0.394	1.435	365.240	232.960	13.253	359	228	8	13	13	12
199.800	562.745	8290	3441	2853787	344.245	205.127	265.000	200	2349	170.221	304.042	20.701	4.584	1.590	4.452	168.265	303.372	21.386	137	290	8	62	31	23
0.313	3.209	13	13	3350	257.692	32.159	249.000	213	321	469.538	169.462	10.846	0.378	0.164	0.374	469.573	169.439	10.848	469	169	9	2	2	4
0.265	3.403	11	11	2580	234.545	28.201	220.000	204	288	468.000	175.727	10.636	0.363	0.152	0.307	467.998	175.726	10.647	467	175	9	3	2	4
0.241	3.139	10	9	2228	222.800	23.827	214.000	203	272	124.000	186.900	9.900	0.348	0.099	0.352	124.000	186.903	9.905	123	186	9	3	3	3
43.286	180.033	1796	1020	612157	340.845	181.647	285.000	200	1658	390.516	192.829	21.078	2.673	0.933	2.632	390.311	193.490	20.368	378	183	9	24	22	22
1.181	8.481	49	44	16686	340.531	106.559	311.000	205	657	48.000	286.959	11.673	0.652	0.275	0.626	47.987	286.960	11.647	47	286	9	3	3	7
39.622	155.877	1644	906	499265	303.689	123.699	267.000	200	1182	264.967	292.739	17.765	2.563	1.104	2.443	265.782	292.816	17.209	254	285	9	26	16	22
0.795	6.806	33	29	9158	277.515	66.256	256.000	207	464	152.121	384.879	11.788	0.540	0.219	0.522	152.126	384.893	11.793	151	384	9	3	3	6
6.049	27.504	251	144	144052	573.912	422.555	413.000	201	2014	162.195	387.514	15.052	1.257	0.494	1.243	162.224	387.541	14.780	160	385	9	6	6	13
1.253	9.433	52	44	16595	319.135	98.355	288.500	201	551	496.077	136.308	13.346	0.682	0.278	0.643	496.075	136.352	13.265	495	135	10	4	4	7
0.795	6.736	33	29	9093	275.545	61.545	257.000	210	450	491.000	136.909	12.667	0.518	0.207	0.450	491.003	136.917	12.678	490	136	10	3	3	6
38.369	154.925	1592	897	523624	328.910	127.669	287.000	200	919	341.475	244.372	20.875	2.786	1.189	2.621	340.602	244.522	20.969	326	237	10	35	13	21
2.675	18.743	111	95	33079	298.009	92.568	265.000	201	643	41.748	254.171	15.225	1.126	0.532	1.122	41.830	253.967	14.812	39	252	10	6	7	12
0.554	5.325	23	21	5882	255.739	51.141	240.000	200	380	447.130	255.652	12.217	0.482	0.197	0.445	447.132	255.658	12.210	446	255	10	3	3	5
0.554	5.519	23	21	6280	273.043	60.520	255.000	202	419	99.304	292.870	11.957	0.485	0.198	0.465	99.316	292.862	11.946	98	292	10	3	3	5
1.060	8.534	44	39	11272	256.182	39.969	239.000	205	345	253.545	304.386	12.773	0.618	0.237	0.605	253.564	304.405	12.742	252	303	10	4	4	6
0.337	3.720	14	14	3088	220.571	13.037	219.000	201	242	237.786	316.429	11.571	0.402	0.172	0.322	237.776	316.433	11.579	237	316	10	3	2	4
1.567	10.967	65	54	20092	309.108	83.548	297.000	200	535	118.277	380.969	12.738	0.680	0.226	0.684	118.227	380.923	12.682	117	379	10	4	5	6
0.482	5.201	20	18	4999	249.950	50.493	235.500	200	377	448.150	164.800	12.700	0.470	0.184	0.402	448.154	164.808	12.707	447	164	11	3	3	5
6.074	28.370	252	152	79581	315.798	116.976	272.500	200	752	399.821	203.921	15.861	1.258	0.490	1.240	399.686	204.042	15.802	397	201	11	8	7	12
0.313	3.209	13	13	3405	261.923	30.275	260.000	208	315	400.538	276.462	12.846	0.378	0.164	0.374	400.552	276.439	12.869	400	276	11	2	2	4
3.495	19.518	145	104	47664	328.717	112.582	293.000	200	693	292.014	286.910	16.103	1.006	0.385	0.916	292.013	287.032	16.022	290	283	11	5	7	10
0.892	7.441	37	32	9357	252.892	38.664	253.000	201	351	198.405	9.081	14.027	0.596	0.246	0.499	198.394	9.077	14.013	197	8	12	4	3	6
0.988	8.287	41	34	11901	290.268	73.512	268.000	201	442	411.634	187.122	15.390	0.631	0.266	0.611	411.610	187.159	15.382	410	186	12	4	3	7
0.554	5.395	23	21	6091	264.826	53.117	259.000	202	378	50.217	212.304	14.217	0.506	0.202	0.484	50.232	212.321	14.224	49	211	12	3	3	5
0.386	4.426	16	15	4090	255.625	45.244	247.500	201	355	395.812	285.250	13.875	0.422	0.173	0.401	395.809	285.250	13.876	395	284	12	3	3	5
0.603	6.101	25	22	6410	256.400	57.421	241.000	200	403	94.800	344.000	14.560	0.502	0.210	0.386	94.795	344.006	14.572	94	343	12	3	3	6
5.109	25.691	212	137	64973	306.476	97.819	274.500	200	613	199.212	109.769	16.995	1.099	0.367	1.054	199.417	109.897	17.027	194	106	13	10	8	10
0.988	8.868	41	38	9294	226.683	19.918	221.000	202	283	188.098	111.415	16.073	0.743	0.379	0.685	188.088	111.381	16.015	187	110	13	3	4	8
0.289	3.667	12	12	2849	237.417	28.196	232.500	205	290	495.250	128.333	15.167	0.449	0.229	0.425	495.225	128.324	15.170	495	128	13	2	2	5
