Volume (pixel^3)	Surface (pixel^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (pixel)	SD dist. to surf. (pixel)	Median dist. to surf. (pixel)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
14029	4208	14029	2453	168348	12	0	12	12	12	332.366	303.504	10.585	14.614	1.574	15.040	332.366	303.504	10.585	315	288	1	35	32	23
1750	1354	1750	744	8750	5	0	5	5	5	334.104	268.280	8.241	7.648	2.372	7.469	334.104	268.280	8.241	321	262	3	24	16	14
1856	1156	1856	667	5568	3	0	3	3	3	228.706	180.788	7.046	7.429	1.674	7.725	228.706	180.788	7.046	219	172	4	20	19	9
14911	4662	14911	2623	298220	20	0	20	20	20	205.554	193.883	18.607	15.092	2.274	15.154	205.554	193.883	18.607	189	177	4	35	34	28
7532	2828	7532	1513	120512	16	0	16	16	16	82.635	214.734	13.861	11.752	0.966	11.945	82.635	214.734	13.861	70	203	4	26	25	21
12230	4482	12230	2434	281290	23	0	23	23	23	290.240	256.370	16.728	14.574	2.656	13.970	290.253	256.370	16.728	274	243	4	42	29	26
1357	1384	1357	703	10856	8	0	8	8	8	318.473	248.260	11.671	7.198	2.207	7.221	318.473	248.260	11.671	309	238	6	19	22	15
6764	3060	6764	1662	94696	14	0	14	14	14	303.998	441.341	17.387	10.837	2.196	11.597	303.998	441.342	17.387	292	429	6	24	25	23
1487	1606	1487	742	19331	13	0	13	13	13	118.802	205.418	14.825	8.202	2.653	8.294	118.802	205.418	14.825	109	192	8	23	25	15
11627	3632	11627	2301	302302	26	0	26	26	26	11.503	229.160	21.395	13.767	1.395	13.818	11.503	229.159	21.395	0	215	8	26	30	24
10090	3454	10090	1924	252250	25	0	25	25	25	291.848	231.264	20.429	13.059	1.113	13.040	291.836	231.264	20.429	278	218	9	30	26	23
6112	3468	6112	1842	110016	18	0	18	18	18	326.160	348.945	18.406	11.166	2.673	11.708	326.157	348.944	18.406	312	334	9	28	28	22
1153	1192	1153	601	17295	15	0	15	15	15	23.821	198.232	14.776	6.982	2.257	6.784	23.821	198.232	14.776	16	189	10	15	23	12
10353	3738	10353	2224	289884	28	0	28	28	28	53.018	204.696	22.692	13.665	2.485	13.460	53.018	204.696	22.692	38	192	10	33	33	22
11006	3610	11006	2082	319174	29	0	29	29	29	313.029	376.851	22.255	13.460	1.494	13.703	313.019	376.850	22.255	299	361	10	29	32	22
12920	4002	12920	2468	348840	27	0	27	27	27	280.259	434.588	22.885	14.371	2.093	14.651	280.272	434.587	22.885	264	420	10	34	31	22
5559	3156	5559	1687	94503	17	0	17	17	17	276.825	486.655	18.035	11.142	2.704	11.847	276.817	486.655	18.035	262	474	10	30	27	20
4139	3146	4139	1559	91058	22	0	22	22	22	220.129	217.830	19.744	10.577	3.014	10.640	220.129	217.830	19.744	206	207	11	30	24	21
8929	3154	8929	2008	276799	31	0	31	31	31	145.636	189.999	24.787	12.783	2.239	13.281	145.645	189.999	24.787	132	175	15	29	31	17
5529	2376	5529	1472	176928	32	0	32	32	32	32.053	244.453	25.923	10.951	2.134	11.206	32.053	244.453	25.923	18	233	17	29	26	15
2688	1904	2688	1078	91392	34	0	34	34	34	303.137	408.172	26.633	9.365	2.796	9.315	303.137	408.171	26.633	293	398	20	27	25	12
1848	1450	1848	863	68376	37	0	37	37	37	105.069	227.827	28.859	8.148	2.342	8.388	105.069	227.827	28.859	94	217	24	25	22	8
1794	1468	1794	834	68172	38	0	38	38	38	252.946	240.373	28.658	8.059	2.378	8.223	252.946	240.373	28.658	243	228	24	23	25	8
