Volume (pixel^3)	Surface (pixel^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (pixel)	SD dist. to surf. (pixel)	Median dist. to surf. (pixel)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
2688	1924	2688	1014	2688	1	0	1	1	1	163.566	64.500	7.028	8.794	2.338	8.930	163.566	64.500	7.028	150	55	1	24	23	15
15565	4976	15565	2683	233475	15	0	15	15	15	196.210	100.241	12.795	15.468	2.160	15.106	196.229	100.241	12.795	181	83	1	32	42	26
19794	5378	19794	3080	237528	12	0	12	12	12	270.659	206.596	11.697	16.504	1.918	16.788	270.659	206.596	11.697	253	188	1	37	38	27
11587	4880	11587	2602	92696	8	0	8	8	8	275.830	276.588	13.118	14.647	3.115	13.814	275.830	276.588	13.118	262	259	1	36	37	30
1621	1012	1621	541	3242	2	0	2	2	2	267.539	294.607	6.846	6.907	0.584	6.911	267.539	294.607	6.846	260	288	1	15	15	13
8314	3814	8314	2101	33256	4	0	4	4	4	258.057	405.665	9.461	12.211	2.804	12.839	258.057	405.665	9.461	243	393	1	31	30	21
13555	4112	13555	2589	216880	16	0	16	16	16	185.052	502.447	13.779	14.604	2.023	14.556	185.052	502.447	13.779	168	489	1	35	23	30
10593	3820	10593	2091	137709	13	0	13	13	13	260.998	379.155	16.012	12.754	2.244	13.289	260.980	379.154	16.012	247	365	4	30	28	26
12901	4112	12901	2225	245119	19	0	19	19	19	125.899	62.490	17.911	14.264	1.439	14.109	125.910	62.490	17.911	112	47	5	30	33	26
18433	6250	18433	3625	423959	23	0	23	23	23	187.549	146.657	20.645	17.221	4.032	16.840	187.563	146.657	20.645	169	116	9	37	52	22
7732	2910	7732	1723	224228	29	0	29	29	29	275.312	357.462	21.619	12.001	1.506	12.056	275.301	357.462	21.619	259	346	9	30	24	22
11183	3470	11183	2272	268392	24	0	24	24	24	75.631	10.750	21.279	13.593	1.661	13.836	75.631	10.750	21.279	61	0	10	30	26	21
9312	3264	9312	2013	260736	28	0	28	28	28	258.899	340.789	21.683	12.831	1.705	12.742	258.900	340.789	21.683	245	328	10	31	27	21
5870	3190	5870	1782	152620	26	0	26	26	26	233.514	197.511	23.761	11.027	2.545	11.281	233.512	197.511	23.761	221	182	14	25	30	17
1435	1310	1435	669	31570	22	0	22	22	22	253.762	169.915	20.907	7.160	2.083	7.301	253.762	169.915	20.907	242	164	15	23	15	14
1878	1536	1878	798	46950	25	0	25	25	25	250.315	182.391	22.503	7.953	2.278	7.744	250.315	182.391	22.503	241	175	16	23	16	15
